DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_truncated,DEFAULT_Truncated_Version,DEFAULT_Truncated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls
2,300,2,0,50000.0,1,800000.0,99999,20,100,50,2,300,6,0.5,5,-10,TR1,0.19,1,8,4

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
64,kein_Terminated,Zeit abgelaufen,0.34,153,-5354.0,21,20250407-003741
65,kein_Terminated,Zeit abgelaufen,0.31,121,-4882.0,21,20250407-003759
66,kein_Terminated,Zeit abgelaufen,0.16,48,-1690.0,21,20250407-003818
67,kein_Terminated,Zeit abgelaufen,0.23,343,-15164.0,21,20250407-003836
68,kein_Terminated,Zeit abgelaufen,0.22,317,-13814.0,21,20250407-003855
69,kein_Terminated,Zeit abgelaufen,0.22,144,-6120.0,21,20250407-003913
70,kein_Terminated,Zeit abgelaufen,0.38,96,-2198.0,21,20250407-003932
71,kein_Terminated,Zeit abgelaufen,0.26,115,-4504.0,21,20250407-003950
72,kein_Terminated,Zeit abgelaufen,0.23,114,-4108.0,21,20250407-004009
73,kein_Terminated,Zeit abgelaufen,0.16,75,-3558.0,21,20250407-004027
74,kein_Terminated,Zeit abgelaufen,0.16,211,-8340.0,21,20250407-004045
75,kein_Terminated,Zeit abgelaufen,0.2,230,-11254.0,21,20250407-004104
76,kein_Terminated,Zeit abgelaufen,0.37,163,-5954.0,21,20250407-004122
77,kein_Terminated,Zeit abgelaufen,0.2,41,-900.0,21,20250407-004140
78,kein_Terminated,Zeit abgelaufen,0.31,176,-6662.0,21,20250407-004158
79,kein_Terminated,Zeit abgelaufen,0.23,63,-3172.0,21,20250407-004217
80,kein_Terminated,Zeit abgelaufen,0.26,165,-7174.0,21,20250407-004235
81,kein_Terminated,Zeit abgelaufen,0.23,215,-10056.0,21,20250407-004253
82,kein_Terminated,Zeit abgelaufen,0.26,81,-2322.0,21,20250407-004312
83,kein_Terminated,Zeit abgelaufen,0.16,98,-5012.0,21,20250407-004330
1,kein_Terminated,Zeit abgelaufen,0.09,10,102.0,21,20250407-004353
84,kein_Terminated,Zeit abgelaufen,0.17,68,-1784.0,21,20250407-004407
85,kein_Terminated,Zeit abgelaufen,0.28,146,-4906.0,21,20250407-004426
86,kein_Terminated,Zeit abgelaufen,0.28,117,-3488.0,21,20250407-004444
87,kein_Terminated,Zeit abgelaufen,0.16,28,-386.0,21,20250407-004503
88,kein_Terminated,Zeit abgelaufen,0.22,416,-17842.0,21,20250407-004522
89,kein_Terminated,Zeit abgelaufen,0.2,157,-6190.0,21,20250407-004540
90,kein_Terminated,Zeit abgelaufen,0.19,77,-3574.0,21,20250407-004559
91,kein_Terminated,Zeit abgelaufen,0.15,38,-942.0,21,20250407-004617
92,kein_Terminated,Zeit abgelaufen,0.18,109,-5304.0,21,20250407-004636
93,kein_Terminated,Zeit abgelaufen,0.21,31,-354.0,21,20250407-004654
94,kein_Terminated,Zeit abgelaufen,0.16,200,-9180.0,21,20250407-004713
95,kein_Terminated,Zeit abgelaufen,0.23,157,-6752.0,21,20250407-004731
96,kein_Terminated,Zeit abgelaufen,0.31,75,-2480.0,21,20250407-004750
97,kein_Terminated,Zeit abgelaufen,0.18,1,1004.0,21,20250407-004808
98,kein_Terminated,Zeit abgelaufen,0.23,133,-4420.0,21,20250407-004827
99,kein_Terminated,Zeit abgelaufen,0.24,238,-10342.0,21,20250407-004845
100,kein_Terminated,Zeit abgelaufen,0.27,103,-3498.0,21,20250407-004904
101,kein_Terminated,Zeit abgelaufen,0.25,169,-5480.0,21,20250407-004922
102,kein_Terminated,Zeit abgelaufen,0.22,445,-19124.0,21,20250407-004941
103,kein_Terminated,Zeit abgelaufen,0.15,372,-16786.0,21,20250407-005000
104,kein_Terminated,Zeit abgelaufen,0.19,178,-7326.0,21,20250407-005019
105,kein_Terminated,Zeit abgelaufen,0.31,299,-12290.0,21,20250407-005038
