DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000,1,1080000,99999999999999,20,100,50,2,300,2,0.5,5,-100,0.1,1,False,/home/moritz_s/Documents/RKIM_1/F_u_E_Drohnenrennen/GitRepo/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M1_R6_O8_A2_TR1_T1_20250410-005410/save-04.10.2025_00.54.10/results/save-04.10.2025_00.54.10/_750000_steps.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
49,kein_Terminated,Zeit abgelaufen,0.18,121,1192.0,300.5,22,9,20250410-145204
50,kein_Terminated,Zeit abgelaufen,0.24,184,-2023.0,300.5,22,9,20250410-145226
51,kein_Terminated,Zeit abgelaufen,0.2,147,-2039.0,300.5,22,9,20250410-145248
52,kein_Terminated,Zeit abgelaufen,0.24,173,1092.0,300.5,22,9,20250410-145310
53,kein_Terminated,Zeit abgelaufen,0.21,190,-2812.0,300.5,22,2,20250410-145332
54,kein_Terminated,Zeit abgelaufen,0.19,214,-6534.0,300.5,22,2,20250410-145354
55,kein_Terminated,Zeit abgelaufen,0.18,315,-14935.0,300.5,22,8,20250410-145416
56,kein_Terminated,Zeit abgelaufen,0.26,177,560.0,300.5,24,4,20250410-145439
57,kein_Terminated,Zeit abgelaufen,0.22,300,-4889.0,300.5,24,4,20250410-145502
58,kein_Terminated,Zeit abgelaufen,0.24,308,-12466.0,300.5,24,6,20250410-145524
59,kein_Terminated,Zeit abgelaufen,0.28,199,-5196.0,300.5,24,6,20250410-145547
60,kein_Terminated,Zeit abgelaufen,0.24,73,1807.0,300.5,24,3,20250410-145610
61,kein_Terminated,Zeit abgelaufen,0.1,462,-21466.0,300.5,24,3,20250410-145633
62,kein_Terminated,Zeit abgelaufen,0.13,319,-8502.0,300.5,24,3,20250410-145656
63,kein_Terminated,Zeit abgelaufen,0.26,164,1010.0,300.5,25,9,20250410-145723
64,kein_Terminated,Zeit abgelaufen,0.23,249,-183.0,300.5,25,9,20250410-145749
65,kein_Terminated,Zeit abgelaufen,0.01,602,-60521.0,300.5,25,3,20250410-145821
66,kein_Terminated,Zeit abgelaufen,0.01,602,232.0,300.5,25,3,20250410-145849
