DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250412-011854/save-04.12.2025_01.18.54/final_model.zip,20,8,4,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939_TEST_WITH_ADOPTED_MAZES

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
48,kein_Terminated,Zeit abgelaufen,0.28,272,-5094.75,300.5,8,7,20250414-003143
49,kein_Terminated,Zeit abgelaufen,0.24,269,-2729.0,300.5,0,9,20250414-003153
50,kein_Terminated,Zeit abgelaufen,0.24,330,-5348.5,300.5,0,9,20250414-003204
51,kein_Terminated,Zeit abgelaufen,0.27,315,-2079.5,300.5,0,9,20250414-003214
52,kein_Terminated,Zeit abgelaufen,0.18,393,-10452.75,300.5,0,9,20250414-003225
53,kein_Terminated,Zeit abgelaufen,0.2,312,-6715.25,300.5,0,2,20250414-003235
54,kein_Terminated,Zeit abgelaufen,0.24,339,-4131.5,300.5,0,2,20250414-003245
55,kein_Terminated,Zeit abgelaufen,0.2,288,-3293.75,300.5,0,8,20250414-003256
56,kein_Terminated,Zeit abgelaufen,0.19,330,-1691.5,300.5,26,4,20250414-003311
57,kein_Terminated,Zeit abgelaufen,0.17,373,-2608.0,300.5,26,4,20250414-003325
58,kein_Terminated,Zeit abgelaufen,0.25,436,-6843.0,300.5,26,6,20250414-003340
59,kein_Terminated,Zeit abgelaufen,0.21,452,-6823.25,300.5,26,6,20250414-003355
60,kein_Terminated,Zeit abgelaufen,0.22,384,-5946.0,300.5,26,3,20250414-003410
61,kein_Terminated,Zeit abgelaufen,0.31,376,-4865.25,300.5,26,3,20250414-003425
62,kein_Terminated,Zeit abgelaufen,0.26,367,-6215.25,300.5,26,3,20250414-003440
63,kein_Terminated,Zeit abgelaufen,0.42,184,2036.25,300.5,5,9,20250414-003450
64,kein_Terminated,Zeit abgelaufen,0.33,141,2077.25,300.5,5,9,20250414-003501
65,kein_Terminated,Zeit abgelaufen,0.31,321,-6326.75,300.5,5,3,20250414-003511
66,kein_Terminated,Zeit abgelaufen,0.19,380,-8967.0,300.5,5,3,20250414-003522
67,kein_Terminated,Zeit abgelaufen,0.22,361,-8982.0,300.5,5,7,20250414-003532
68,kein_Terminated,Zeit abgelaufen,0.33,246,-1210.75,300.5,5,7,20250414-003543
69,kein_Terminated,Zeit abgelaufen,0.27,301,-2193.0,300.5,5,5,20250414-003553
70,kein_Terminated,Zeit abgelaufen,0.22,263,-2263.75,300.5,8,2,20250414-003604
