DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000,1,1080000,99999999999999,20,100,50,2,300,2,0.5,5,-100,0.1,1,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.17,91,-1437.0,300.5,22,1,20250410-002708
2,kein_Terminated,Zeit abgelaufen,0.18,228,-8132.0,300.5,22,5,20250410-002720
3,kein_Terminated,Zeit abgelaufen,0.14,255,-5881.0,300.5,22,5,20250410-002731
4,kein_Terminated,Zeit abgelaufen,0.22,192,-2271.0,300.5,22,6,20250410-002742
5,kein_Terminated,Zeit abgelaufen,0.25,167,-1803.0,300.5,22,6,20250410-002753
6,kein_Terminated,Zeit abgelaufen,0.18,243,-6209.0,300.5,22,0,20250410-002805
7,kein_Terminated,Zeit abgelaufen,0.13,322,-12731.0,300.5,25,5,20250410-002819
8,kein_Terminated,Zeit abgelaufen,0.16,393,-14791.0,300.5,25,5,20250410-002832
9,kein_Terminated,Zeit abgelaufen,0.22,218,-266.0,300.5,25,8,20250410-002846
10,kein_Terminated,Zeit abgelaufen,0.13,149,-942.0,300.5,25,8,20250410-002900
11,kein_Terminated,Zeit abgelaufen,0.14,250,-5408.0,300.5,25,7,20250410-002913
12,kein_Terminated,Zeit abgelaufen,0.16,160,214.0,300.5,25,7,20250410-002927
