DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step,DEFAULT_explore_Matrix_Size,DEFAULT_BESTRAFUNGSABSTAND_WAND,DEFAULT_SCALE_BESTRAFUNG_WAND
5,300,5,-0.2,50000.0,1,90000,99999999999999,20,100,50,5,300,5,1,0.01,5,0.5,0.02

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
1,kein_Terminated,Zeit abgelaufen,0.13,540,536.3105027020241,0,20250404-011627
2,kein_Terminated,Zeit abgelaufen,0.09,1317,-1190.1337305574757,0,20250404-011638
3,kein_Terminated,Zeit abgelaufen,0.12,2150,-1491.958058362404,0,20250404-011649
4,kein_Terminated,Zeit abgelaufen,0.19,2946,-379.90325676920713,0,20250404-011700
5,kein_Terminated,Zeit abgelaufen,0.2,3568,714.3704376273622,0,20250404-011712
6,kein_Terminated,Zeit abgelaufen,0.26,4417,461.67310458713996,0,20250404-011723
7,kein_Terminated,Zeit abgelaufen,0.38,5336,1843.094052186383,0,20250404-011735
8,kein_Terminated,Zeit abgelaufen,0.19,6379,-1605.4995567957492,0,20250404-011746
9,kein_Terminated,Zeit abgelaufen,0.14,7483,-3290.356882754085,0,20250404-011758
10,kein_Terminated,Zeit abgelaufen,0.17,8669,-3186.484939619055,0,20250404-011809
11,kein_Terminated,Zeit abgelaufen,0.25,9401,459.325377561286,0,20250404-011821
12,kein_Terminated,Zeit abgelaufen,0.34,10257,1937.6356736695138,0,20250404-011832
