DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step,DEFAULT_explore_Matrix_Size,DEFAULT_BESTRAFUNGSABSTAND_WAND,DEFAULT_SCALE_BESTRAFUNG_WAND
10,300,10,-0.1,50000.0,1,180000,99999999999999,20,100,50,10,300,5,1,0.01,5,0.5,0.01

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
1,kein_Terminated,Zeit abgelaufen,0.06,499,1261.8407201330224,0,20250404-011220
2,kein_Terminated,Zeit abgelaufen,0.1,1246,2300.421377734436,0,20250404-011233
3,kein_Terminated,Zeit abgelaufen,0.11,2245,2155.487227056025,0,20250404-011245
4,kein_Terminated,Zeit abgelaufen,0.07,3432,-355.36558705277537,0,20250404-011258
5,kein_Terminated,Zeit abgelaufen,0.11,5558,-65.83481902514778,0,20250404-011310
6,kein_Terminated,Zeit abgelaufen,0.12,7357,961.2332936213807,0,20250404-011323
7,kein_Terminated,Zeit abgelaufen,0.19,8836,2774.7322650389715,0,20250404-011336
8,kein_Terminated,Zeit abgelaufen,0.13,10816,117.76940339652577,0,20250404-011349
9,kein_Terminated,Zeit abgelaufen,0.2,12648,3230.6289898823493,0,20250404-011401
10,kein_Terminated,Zeit abgelaufen,0.11,13519,2529.6451776116596,0,20250404-011414
11,kein_Terminated,Zeit abgelaufen,0.22,15027,4322.196010722811,0,20250404-011428
12,kein_Terminated,Zeit abgelaufen,0.12,17101,323.7989304963306,0,20250404-011441
13,kein_Terminated,Zeit abgelaufen,0.14,18790,1886.5057493825752,0,20250404-011454
14,kein_Terminated,Zeit abgelaufen,0.16,20689,1266.403379941863,0,20250404-011507
