DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_NUMBER_LAST_ACTIONS
2,300,2,-0.5,50000.0,1,172800,99999999999999,20,100,50,2,300,10,0.5,5,-1000,0.15,0.25,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Uhrzeit Welt
0,Zu nah an der Wand,kein_Truncared,0.02,3,-893.0,4.5,21,20250408-211429
0,Zu nah an der Wand,kein_Truncared,0.02,2,-923.0,4.5,21,20250408-211432
0,Zu nah an der Wand,kein_Truncared,0.04,7,-842.5,32.0,21,20250408-211437
0,Zu nah an der Wand,kein_Truncared,0.02,2,-911.0,4.5,21,20250408-211440
0,Zu nah an der Wand,kein_Truncared,0.04,2,-796.0,43.5,21,20250408-211445
0,Zu nah an der Wand,kein_Truncared,0.02,3,-903.0,14.5,21,20250408-211516
0,Zu nah an der Wand,kein_Truncared,0.04,5,-822.5,28.0,21,20250408-211550
0,Zu nah an der Wand,kein_Truncared,0.03,8,-866.5,20.0,21,20250408-211624
0,Zu nah an der Wand,kein_Truncared,0.02,6,-895.0,10.5,21,20250408-211657
0,Zu nah an der Wand,kein_Truncared,0.02,4,-896.0,11.5,21,20250408-211731
0,Zu nah an der Wand,kein_Truncared,0.05,7,-747.0,20.5,21,20250408-211803
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-211835
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-211907
0,Zu nah an der Wand,kein_Truncared,0.01,4,-953.0,2.5,21,20250408-211940
0,Zu nah an der Wand,kein_Truncared,0.01,3,-971.5,1.0,21,20250408-212010
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-212041
0,Zu nah an der Wand,kein_Truncared,0.06,4,-703.5,47.0,21,20250408-212112
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-212143
0,Zu nah an der Wand,kein_Truncared,0.01,1,-981.5,1.0,21,20250408-212216
0,Zu nah an der Wand,kein_Truncared,0.04,4,-821.5,23.0,21,20250408-212245
0,Zu nah an der Wand,kein_Truncared,0.01,1,-1000.5,0.0,21,20250408-212317
0,Zu nah an der Wand,kein_Truncared,0.03,1,-889.0,14.5,21,20250408-212349
0,Zu nah an der Wand,kein_Truncared,0.07,1,-635.0,34.5,21,20250408-212423
0,Zu nah an der Wand,kein_Truncared,0.01,1,-953.0,2.5,21,20250408-212453
0,Zu nah an der Wand,kein_Truncared,0.01,1,-981.0,0.5,21,20250408-212526
0,Zu nah an der Wand,kein_Truncared,0.06,3,-711.5,43.0,21,20250408-212556
0,Zu nah an der Wand,kein_Truncared,0.05,2,-773.5,41.0,21,20250408-212630
0,Zu nah an der Wand,kein_Truncared,0.01,1,-981.0,0.5,21,20250408-212701
0,Zu nah an der Wand,kein_Truncared,0.01,1,-981.0,0.5,21,20250408-212731
0,Zu nah an der Wand,kein_Truncared,0.02,1,-943.0,4.5,21,20250408-212801
0,Zu nah an der Wand,kein_Truncared,0.12,3,-306.0,73.5,21,20250408-212838
0,Zu nah an der Wand,kein_Truncared,0.03,1,-881.0,16.5,21,20250408-212911
0,Zu nah an der Wand,kein_Truncared,0.02,1,-936.0,9.5,21,20250408-212941
0,Zu nah an der Wand,kein_Truncared,0.03,2,-869.5,13.0,21,20250408-213010
0,Zu nah an der Wand,kein_Truncared,0.02,1,-900.0,9.5,21,20250408-213040
0,Zu nah an der Wand,kein_Truncared,0.04,7,-808.5,26.0,21,20250408-213112
0,Zu nah an der Wand,kein_Truncared,0.02,1,-905.5,9.0,21,20250408-213145
0,Zu nah an der Wand,kein_Truncared,0.02,2,-922.0,5.5,21,20250408-213214
0,Zu nah an der Wand,kein_Truncared,0.03,11,-862.5,14.0,21,20250408-213241
