DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000.0,1,1080000,99999999999999,20,100,50,2,300,2,0.5,5,-100,0.1,1,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
1,kein_Terminated,Zeit abgelaufen,0.31,304,-13445.0,300.5,22,0,20250412-224508
2,kein_Terminated,Zeit abgelaufen,0.25,338,-14839.0,300.5,22,2,20250412-224534
3,kein_Terminated,Zeit abgelaufen,0.15,34,1931.0,300.5,22,2,20250412-224559
4,kein_Terminated,Zeit abgelaufen,0.14,51,1609.0,300.5,22,2,20250412-224625
5,kein_Terminated,Zeit abgelaufen,0.12,26,1709.0,300.5,22,2,20250412-224651
6,kein_Terminated,Zeit abgelaufen,0.1,80,1352.0,300.5,22,2,20250412-224717
7,kein_Terminated,Zeit abgelaufen,0.06,415,-3143.0,300.5,25,2,20250412-224748
8,kein_Terminated,Zeit abgelaufen,0.07,242,-4005.0,300.5,25,2,20250412-224818
9,kein_Terminated,Zeit abgelaufen,0.01,602,281.0,300.5,25,3,20250412-224849
10,kein_Terminated,Zeit abgelaufen,0.01,602,236.0,300.5,25,3,20250412-224920
11,kein_Terminated,Zeit abgelaufen,0.01,602,-60420.0,300.5,25,3,20250412-224951
12,kein_Terminated,Zeit abgelaufen,0.01,602,180.0,300.5,25,3,20250412-225053
13,kein_Terminated,Zeit abgelaufen,0.01,602,-60420.0,300.5,25,3,20250412-225152
14,kein_Terminated,Zeit abgelaufen,0.08,31,1249.0,300.5,24,3,20250412-225249
15,kein_Terminated,Zeit abgelaufen,0.08,66,809.0,300.5,24,3,20250412-225317
16,kein_Terminated,Zeit abgelaufen,0.05,152,-1074.0,300.5,24,4,20250412-225344
17,kein_Terminated,Zeit abgelaufen,0.04,312,-4943.0,300.5,24,4,20250412-225412
18,kein_Terminated,Zeit abgelaufen,0.03,570,-10048.0,300.5,24,4,20250412-225439
19,kein_Terminated,Zeit abgelaufen,0.03,569,-18189.0,300.5,24,4,20250412-225508
20,kein_Terminated,Zeit abgelaufen,0.04,565,-12275.0,300.5,24,4,20250412-225536
21,kein_Terminated,Zeit abgelaufen,0.03,592,-18997.0,300.5,23,4,20250412-225603
22,kein_Terminated,Zeit abgelaufen,0.03,594,-16892.0,300.5,23,4,20250412-225631
23,kein_Terminated,Zeit abgelaufen,0.07,540,-19139.0,300.5,23,3,20250412-225700
24,kein_Terminated,Zeit abgelaufen,0.07,552,-23264.0,300.5,23,3,20250412-225727
25,kein_Terminated,Zeit abgelaufen,0.07,559,-29065.0,300.5,23,3,20250412-225755
26,kein_Terminated,Zeit abgelaufen,0.07,546,-29465.0,300.5,23,3,20250412-225850
27,kein_Terminated,Zeit abgelaufen,0.07,462,-15802.0,300.5,23,3,20250412-225942
28,kein_Terminated,Zeit abgelaufen,0.07,338,-6041.0,300.5,23,3,20250412-230036
29,kein_Terminated,Zeit abgelaufen,0.07,285,-1500.0,300.5,23,3,20250412-230132
30,kein_Terminated,Zeit abgelaufen,0.06,206,-1891.0,300.5,23,4,20250412-230224
31,kein_Terminated,Zeit abgelaufen,0.06,237,-1216.0,300.5,23,4,20250412-230316
32,kein_Terminated,Zeit abgelaufen,0.06,130,210.0,300.5,23,4,20250412-230409
33,kein_Terminated,Zeit abgelaufen,0.06,125,331.0,300.5,23,4,20250412-230503
34,kein_Terminated,Zeit abgelaufen,0.05,203,162.0,300.5,23,4,20250412-230554
35,kein_Terminated,Zeit abgelaufen,0.04,342,-309.0,300.5,22,4,20250412-230650
36,kein_Terminated,Zeit abgelaufen,0.04,268,584.0,300.5,22,4,20250412-230744
37,kein_Terminated,Zeit abgelaufen,0.08,93,1080.0,300.5,22,3,20250412-230839
38,kein_Terminated,Zeit abgelaufen,0.08,74,1124.0,300.5,22,3,20250412-230932
39,kein_Terminated,Zeit abgelaufen,0.08,203,918.0,300.5,22,3,20250412-231028
40,kein_Terminated,Zeit abgelaufen,0.08,158,999.0,300.5,22,3,20250412-231121
41,kein_Terminated,Zeit abgelaufen,0.08,145,1080.0,300.5,22,3,20250412-231215
42,kein_Terminated,Zeit abgelaufen,0.05,46,849.0,300.5,23,3,20250412-231308
43,kein_Terminated,Zeit abgelaufen,0.05,7,821.0,300.5,23,3,20250412-231400
44,kein_Terminated,Zeit abgelaufen,0.06,266,-10702.0,300.5,23,5,20250412-231454
45,kein_Terminated,Zeit abgelaufen,0.06,87,-2251.0,300.5,23,5,20250412-231548
46,kein_Terminated,Zeit abgelaufen,0.06,131,-5083.0,300.5,23,5,20250412-231644
47,kein_Terminated,Zeit abgelaufen,0.05,68,-1632.0,300.5,23,5,20250412-231737
48,kein_Terminated,Zeit abgelaufen,0.06,48,-287.0,300.5,23,5,20250412-231831
49,kein_Terminated,Zeit abgelaufen,0.07,0,1065.0,300.5,25,5,20250412-231925
50,kein_Terminated,Zeit abgelaufen,0.06,1,957.0,300.5,25,5,20250412-232023
51,kein_Terminated,Zeit abgelaufen,0.1,3,1469.0,300.5,25,8,20250412-232122
52,kein_Terminated,Zeit abgelaufen,0.1,8,1429.0,300.5,25,8,20250412-232219
53,kein_Terminated,Zeit abgelaufen,0.04,6,721.0,300.5,25,8,20250412-232317
54,kein_Terminated,Zeit abgelaufen,0.08,110,523.0,300.5,25,8,20250412-232415
55,kein_Terminated,Zeit abgelaufen,0.08,458,-2014.0,300.5,25,8,20250412-232514
56,kein_Terminated,Zeit abgelaufen,0.11,478,-18979.0,300.5,23,8,20250412-232611
57,kein_Terminated,Zeit abgelaufen,0.12,488,-18418.0,300.5,23,8,20250412-232704
58,kein_Terminated,Zeit abgelaufen,0.08,511,-13230.0,300.5,23,7,20250412-232757
59,kein_Terminated,Zeit abgelaufen,0.07,405,-7840.0,300.5,23,7,20250412-232852
60,kein_Terminated,Zeit abgelaufen,0.08,41,-181.0,300.5,23,7,20250412-232946
61,kein_Terminated,Zeit abgelaufen,0.06,25,3.0,300.5,23,7,20250412-233043
62,kein_Terminated,Zeit abgelaufen,0.05,22,728.0,300.5,23,7,20250412-233138
63,kein_Terminated,Zeit abgelaufen,0.06,70,202.0,300.5,23,7,20250412-233231
64,kein_Terminated,Zeit abgelaufen,0.06,81,-946.0,300.5,23,7,20250412-233328
65,kein_Terminated,Zeit abgelaufen,0.06,41,981.0,300.5,23,6,20250412-233422
66,kein_Terminated,Zeit abgelaufen,0.06,99,40.0,300.5,23,6,20250412-233515
67,kein_Terminated,Zeit abgelaufen,0.06,114,941.0,300.5,23,6,20250412-233608
68,kein_Terminated,Zeit abgelaufen,0.07,195,79.0,300.5,23,6,20250412-233703
69,kein_Terminated,Zeit abgelaufen,0.06,229,-17.0,300.5,23,6,20250412-233757
70,kein_Terminated,Zeit abgelaufen,0.05,9,845.0,300.5,25,6,20250412-233857
71,kein_Terminated,Zeit abgelaufen,0.07,51,1005.0,300.5,25,6,20250412-233956
72,kein_Terminated,Zeit abgelaufen,0.11,182,-261.0,300.5,25,4,20250412-234051
73,kein_Terminated,Zeit abgelaufen,0.11,125,-1921.0,300.5,25,4,20250412-234150
74,kein_Terminated,Zeit abgelaufen,0.04,600,-24149.0,300.5,25,4,20250412-234245
75,kein_Terminated,Zeit abgelaufen,0.11,412,-4964.0,300.5,25,4,20250412-234344
76,kein_Terminated,Zeit abgelaufen,0.05,405,-859.0,300.5,25,4,20250412-234443
77,kein_Terminated,Zeit abgelaufen,0.04,175,645.0,300.5,24,4,20250412-234536
78,kein_Terminated,Zeit abgelaufen,0.03,166,617.0,300.5,24,4,20250412-234629
79,kein_Terminated,Zeit abgelaufen,0.06,48,981.0,300.5,24,6,20250412-234720
80,kein_Terminated,Zeit abgelaufen,0.06,39,997.0,300.5,24,6,20250412-234813
81,kein_Terminated,Zeit abgelaufen,0.07,11,1057.0,300.5,24,6,20250412-234908
82,kein_Terminated,Zeit abgelaufen,0.06,5,1009.0,300.5,24,6,20250412-235003
83,kein_Terminated,Zeit abgelaufen,0.07,2,1069.0,300.5,24,6,20250412-235055
1,kein_Terminated,Zeit abgelaufen,0.06,0,1025.0,300.5,22,0,20250412-235149
84,kein_Terminated,Zeit abgelaufen,0.06,1,1017.0,300.5,23,6,20250412-235209
85,kein_Terminated,Zeit abgelaufen,0.07,0,1049.0,300.5,23,6,20250412-235306
86,kein_Terminated,Zeit abgelaufen,0.06,133,557.0,300.5,23,3,20250412-235358
87,kein_Terminated,Zeit abgelaufen,0.06,69,872.0,300.5,23,3,20250412-235452
88,kein_Terminated,Zeit abgelaufen,0.06,75,856.0,300.5,23,3,20250412-235546
89,kein_Terminated,Zeit abgelaufen,0.06,95,815.0,300.5,23,3,20250412-235644
90,kein_Terminated,Zeit abgelaufen,0.06,48,957.0,300.5,23,3,20250412-235737
91,kein_Terminated,Zeit abgelaufen,0.05,55,893.0,300.5,23,3,20250412-235833
92,kein_Terminated,Zeit abgelaufen,0.07,24,1061.0,300.5,23,3,20250412-235927
93,kein_Terminated,Zeit abgelaufen,0.05,8,280.0,300.5,23,5,20250413-000020
94,kein_Terminated,Zeit abgelaufen,0.05,7,425.0,300.5,23,5,20250413-000115
95,kein_Terminated,Zeit abgelaufen,0.05,5,696.0,300.5,23,5,20250413-000207
96,kein_Terminated,Zeit abgelaufen,0.04,5,664.0,300.5,23,5,20250413-000301
97,kein_Terminated,Zeit abgelaufen,0.05,4,764.0,300.5,23,5,20250413-000359
98,kein_Terminated,Zeit abgelaufen,0.05,8,558.0,300.5,23,5,20250413-000452
99,kein_Terminated,Zeit abgelaufen,0.05,3,853.0,300.5,23,5,20250413-000546
100,kein_Terminated,Zeit abgelaufen,0.1,113,-3056.0,300.5,23,9,20250413-000640
101,kein_Terminated,Zeit abgelaufen,0.1,55,1077.0,300.5,23,9,20250413-000731
102,kein_Terminated,Zeit abgelaufen,0.09,46,1292.0,300.5,23,9,20250413-000823
103,kein_Terminated,Zeit abgelaufen,0.09,53,969.0,300.5,23,9,20250413-000915
104,kein_Terminated,Zeit abgelaufen,0.11,64,1254.0,300.5,23,9,20250413-001009
105,kein_Terminated,Zeit abgelaufen,0.1,65,1178.0,300.5,23,9,20250413-001102
106,kein_Terminated,Zeit abgelaufen,0.11,75,1617.0,300.5,23,9,20250413-001157
107,kein_Terminated,Zeit abgelaufen,0.06,4,945.0,300.5,23,5,20250413-001252
108,kein_Terminated,Zeit abgelaufen,0.05,2,873.0,300.5,23,5,20250413-001348
109,kein_Terminated,Zeit abgelaufen,0.07,6,1089.0,300.5,23,5,20250413-001442
110,kein_Terminated,Zeit abgelaufen,0.06,2,1001.0,300.5,23,5,20250413-001538
111,kein_Terminated,Zeit abgelaufen,0.07,5,907.0,300.5,23,5,20250413-001634
112,kein_Terminated,Zeit abgelaufen,0.07,2,964.0,300.5,23,5,20250413-001726
113,kein_Terminated,Zeit abgelaufen,0.07,3,1141.0,300.5,23,5,20250413-001821
114,kein_Terminated,Zeit abgelaufen,0.07,3,1069.0,300.5,23,5,20250413-001914
115,kein_Terminated,Zeit abgelaufen,0.07,3,1125.0,300.5,23,5,20250413-002010
116,kein_Terminated,Zeit abgelaufen,0.07,2,1077.0,300.5,23,5,20250413-002108
117,kein_Terminated,Zeit abgelaufen,0.07,2,976.0,300.5,23,5,20250413-002204
118,kein_Terminated,Zeit abgelaufen,0.08,3,1273.0,300.5,23,5,20250413-002258
119,kein_Terminated,Zeit abgelaufen,0.07,2,948.0,300.5,24,5,20250413-002354
120,kein_Terminated,Zeit abgelaufen,0.08,2,1181.0,300.5,24,5,20250413-002453
121,kein_Terminated,Zeit abgelaufen,0.07,21,1036.0,300.5,24,2,20250413-002548
122,kein_Terminated,Zeit abgelaufen,0.07,9,1028.0,300.5,24,2,20250413-002643
123,kein_Terminated,Zeit abgelaufen,0.07,10,1061.0,300.5,24,2,20250413-002736
124,kein_Terminated,Zeit abgelaufen,0.07,10,1133.0,300.5,24,2,20250413-002830
