DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000.0,1,1080000,99999999999999,20,100,50,2,300,2,0.5,5,-100,0.15,0.7,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
49,kein_Terminated,Zeit abgelaufen,0.04,598,-59468.8,300.5,25,5,20250410-203448
50,kein_Terminated,Zeit abgelaufen,0.05,598,-59448.8,300.5,25,5,20250410-203546
51,kein_Terminated,Zeit abgelaufen,0.04,600,-59758.2,300.5,25,8,20250410-203643
52,kein_Terminated,Zeit abgelaufen,0.04,599,-59742.2,300.5,25,8,20250410-203740
53,kein_Terminated,Zeit abgelaufen,0.03,600,-59878.9,300.5,25,8,20250410-203835
54,kein_Terminated,Zeit abgelaufen,0.04,600,-59862.9,300.5,25,8,20250410-203932
55,kein_Terminated,Zeit abgelaufen,0.03,600,-59778.2,300.5,25,8,20250410-204031
56,kein_Terminated,Zeit abgelaufen,0.07,564,-55434.9,300.5,23,8,20250410-204128
57,kein_Terminated,Zeit abgelaufen,0.07,550,-53224.20000000002,300.5,23,8,20250410-204223
58,kein_Terminated,Zeit abgelaufen,0.05,426,-34113.100000000515,300.5,23,7,20250410-204317
59,kein_Terminated,Zeit abgelaufen,0.06,191,-6716.100000000073,300.5,23,7,20250410-204414
60,kein_Terminated,Zeit abgelaufen,0.05,476,-21746.99999999992,300.5,23,7,20250410-204507
61,kein_Terminated,Zeit abgelaufen,0.06,549,-23959.79999999985,300.5,23,7,20250410-204603
62,kein_Terminated,Zeit abgelaufen,0.15,100,-3956.200000000048,300.5,23,7,20250410-204654
63,kein_Terminated,Zeit abgelaufen,0.12,517,-48072.70000000002,300.5,23,7,20250410-204743
64,kein_Terminated,Zeit abgelaufen,0.12,553,-53196.40000000001,300.5,23,7,20250410-204841
65,kein_Terminated,Zeit abgelaufen,0.04,595,-59339.4,300.5,23,6,20250410-204938
66,kein_Terminated,Zeit abgelaufen,0.04,595,-59327.4,300.5,23,6,20250410-205031
67,kein_Terminated,Zeit abgelaufen,0.04,597,-59504.8,300.5,23,6,20250410-205127
68,kein_Terminated,Zeit abgelaufen,0.04,596,-59412.1,300.5,23,6,20250410-205223
69,kein_Terminated,Zeit abgelaufen,0.04,595,-59291.4,300.5,23,6,20250410-205314
70,kein_Terminated,Zeit abgelaufen,0.03,587,-46393.100000000166,300.5,25,6,20250410-205414
71,kein_Terminated,Zeit abgelaufen,0.04,547,-38587.200000000055,300.5,25,6,20250410-205509
72,kein_Terminated,Zeit abgelaufen,0.16,523,-28837.79999999981,300.5,25,4,20250410-205607
73,kein_Terminated,Zeit abgelaufen,0.02,602,-60115.6,300.5,25,4,20250410-205703
74,kein_Terminated,Zeit abgelaufen,0.02,602,-60062.9,300.5,25,4,20250410-205805
75,kein_Terminated,Zeit abgelaufen,0.02,601,-60062.9,300.5,25,4,20250410-205903
76,kein_Terminated,Zeit abgelaufen,0.14,495,-41774.000000000015,300.5,25,4,20250410-205959
77,kein_Terminated,Zeit abgelaufen,0.02,602,-60345.0,300.5,24,4,20250410-210051
78,kein_Terminated,Zeit abgelaufen,0.02,601,-60046.9,300.5,24,4,20250410-210144
79,kein_Terminated,Zeit abgelaufen,0.29,248,-14510.3,300.5,24,6,20250410-210236
80,kein_Terminated,Zeit abgelaufen,0.3,321,-20923.799999999974,300.5,24,6,20250410-210329
81,kein_Terminated,Zeit abgelaufen,0.22,58,146.20000000001411,300.5,24,6,20250410-210421
82,kein_Terminated,Zeit abgelaufen,0.26,142,-7123.700000000014,300.5,24,6,20250410-210515
83,kein_Terminated,Zeit abgelaufen,0.21,53,883.8000000000167,300.5,24,6,20250410-210609
1,kein_Terminated,Zeit abgelaufen,0.02,0,324.3999999999936,300.5,22,0,20250410-210704
84,kein_Terminated,Zeit abgelaufen,0.2,79,-219.19999999999044,300.5,23,6,20250410-210723
85,kein_Terminated,Zeit abgelaufen,0.19,39,455.0999999999979,300.5,23,6,20250410-210819
86,kein_Terminated,Zeit abgelaufen,0.06,576,-56063.10000000002,300.5,23,3,20250410-210914
87,kein_Terminated,Zeit abgelaufen,0.07,570,-53811.70000000004,300.5,23,3,20250410-211011
88,kein_Terminated,Zeit abgelaufen,0.07,548,-48728.70000000001,300.5,23,3,20250410-211106
89,kein_Terminated,Zeit abgelaufen,0.07,560,-48285.89999999998,300.5,23,3,20250410-211159
90,kein_Terminated,Zeit abgelaufen,0.07,419,-33426.29999999986,300.5,23,3,20250410-211249
91,kein_Terminated,Zeit abgelaufen,0.08,354,-22007.89999999993,300.5,23,3,20250410-211343
92,kein_Terminated,Zeit abgelaufen,0.08,364,-21395.699999999764,300.5,23,3,20250410-211431
93,kein_Terminated,Zeit abgelaufen,0.08,351,-13146.299999999968,300.5,23,5,20250410-211521
94,kein_Terminated,Zeit abgelaufen,0.09,246,-7725.200000000037,300.5,23,5,20250410-211615
95,kein_Terminated,Zeit abgelaufen,0.07,35,-1488.3999999999762,300.5,23,5,20250410-211709
96,kein_Terminated,Zeit abgelaufen,0.08,23,198.79999999999887,300.5,23,5,20250410-211805
97,kein_Terminated,Zeit abgelaufen,0.08,50,-268.6999999999825,300.5,23,5,20250410-211859
98,kein_Terminated,Zeit abgelaufen,0.08,46,-1332.3999999999737,300.5,23,5,20250410-211953
99,kein_Terminated,Zeit abgelaufen,0.07,38,-151.2999999999999,300.5,23,5,20250410-212046
100,kein_Terminated,Zeit abgelaufen,0.13,87,-3970.8000000000984,300.5,23,9,20250410-212144
101,kein_Terminated,Zeit abgelaufen,0.12,35,-554.2999999999736,300.5,23,9,20250410-212235
102,kein_Terminated,Zeit abgelaufen,0.12,51,-1903.4000000000242,300.5,23,9,20250410-212327
103,kein_Terminated,Zeit abgelaufen,0.11,43,-1141.7999999999788,300.5,23,9,20250410-212420
104,kein_Terminated,Zeit abgelaufen,0.11,30,-142.8000000000011,300.5,23,9,20250410-212515
105,kein_Terminated,Zeit abgelaufen,0.12,40,-1021.0999999999765,300.5,23,9,20250410-212610
106,kein_Terminated,Zeit abgelaufen,0.11,39,-1596.6000000000008,300.5,23,9,20250410-212704
107,kein_Terminated,Zeit abgelaufen,0.14,158,-3400.0000000000755,300.5,23,5,20250410-212800
108,kein_Terminated,Zeit abgelaufen,0.09,170,-7152.999999999982,300.5,23,5,20250410-212855
109,kein_Terminated,Zeit abgelaufen,0.15,106,-1254.0000000000016,300.5,23,5,20250410-212949
110,kein_Terminated,Zeit abgelaufen,0.15,123,-2555.1000000000463,300.5,23,5,20250410-213040
111,kein_Terminated,Zeit abgelaufen,0.11,260,-3888.700000000018,300.5,23,5,20250410-213133
112,kein_Terminated,Zeit abgelaufen,0.17,117,-2749.900000000061,300.5,23,5,20250410-213228
113,kein_Terminated,Zeit abgelaufen,0.15,180,-3243.3000000000475,300.5,23,5,20250410-213324
114,kein_Terminated,Zeit abgelaufen,0.08,36,488.19999999999425,300.5,23,5,20250410-213418
115,kein_Terminated,Zeit abgelaufen,0.08,23,234.79999999999865,300.5,23,5,20250410-213513
116,kein_Terminated,Zeit abgelaufen,0.17,121,-1106.6999999999948,300.5,23,5,20250410-213606
117,kein_Terminated,Zeit abgelaufen,0.17,117,-481.7999999999886,300.5,23,5,20250410-213701
118,kein_Terminated,Zeit abgelaufen,0.18,104,-1066.6999999999805,300.5,23,5,20250410-213758
119,kein_Terminated,Zeit abgelaufen,0.16,114,-1420.0999999999958,300.5,24,5,20250410-213850
120,kein_Terminated,Zeit abgelaufen,0.17,98,-586.499999999993,300.5,24,5,20250410-213943
121,kein_Terminated,Zeit abgelaufen,0.1,19,688.2000000000147,300.5,24,2,20250410-214036
