DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step
2,300,2,-1,50000.0,1,100000.0,99999,20,100,50,2,300,1,1,0.01

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number
75,kein_Terminated,Zeit abgelaufen,0.63,201,2546.9588244626943,21
76,kein_Terminated,Zeit abgelaufen,0.36,295,-990.4831588369118,21
77,kein_Terminated,Zeit abgelaufen,0.39,449,-1925.0172295992413,21
78,kein_Terminated,Zeit abgelaufen,0.44,191,650.2325801981467,21
79,kein_Terminated,Zeit abgelaufen,0.46,228,952.6624214506757,21
80,kein_Terminated,Zeit abgelaufen,0.42,114,1008.1399773647563,21
81,kein_Terminated,Zeit abgelaufen,0.61,120,2609.9475575235288,21
82,kein_Terminated,Zeit abgelaufen,0.34,161,590.5220084665729,21
83,kein_Terminated,Zeit abgelaufen,0.54,284,886.074817125674,21
1,kein_Terminated,Zeit abgelaufen,0.46,55,2248.5415390632816,21
84,kein_Terminated,Zeit abgelaufen,0.56,183,2529.1883017934388,21
85,kein_Terminated,Zeit abgelaufen,0.51,227,965.0977045534192,21
86,kein_Terminated,Zeit abgelaufen,0.6,113,2773.465657795331,21
87,kein_Terminated,Zeit abgelaufen,0.5,218,1678.841122396526,21
88,kein_Terminated,Zeit abgelaufen,0.55,149,2087.061012847473,21
89,kein_Terminated,Zeit abgelaufen,0.59,141,2748.554560402821,21
90,kein_Terminated,Zeit abgelaufen,0.51,130,1935.8507609261299,21
91,kein_Terminated,Zeit abgelaufen,0.48,111,2199.343924010693,21
92,kein_Terminated,Zeit abgelaufen,0.47,195,1226.576978611523,21
93,kein_Terminated,Zeit abgelaufen,0.44,353,-257.2170055365042,21
94,kein_Terminated,Zeit abgelaufen,0.44,86,1912.692371638697,21
95,kein_Terminated,Zeit abgelaufen,0.5,118,2160.9057711959763,21
96,kein_Terminated,Zeit abgelaufen,0.57,134,2403.473920419408,21
97,kein_Terminated,Zeit abgelaufen,0.54,138,2071.9085323115214,21
98,kein_Terminated,Zeit abgelaufen,0.63,185,2186.6838949529256,21
99,kein_Terminated,Zeit abgelaufen,0.58,126,2523.7860919085583,21
100,kein_Terminated,Zeit abgelaufen,0.55,149,2239.1370175963834,21
101,kein_Terminated,Zeit abgelaufen,0.44,188,1454.6154551979014,21
102,kein_Terminated,Zeit abgelaufen,0.48,172,1980.3917625748322,21
103,kein_Terminated,Zeit abgelaufen,0.55,218,1407.9207672047614,21
104,kein_Terminated,Zeit abgelaufen,0.51,286,851.0944920619131,21
105,kein_Terminated,Zeit abgelaufen,0.53,171,2236.80465927339,21
106,kein_Terminated,Zeit abgelaufen,0.6,289,1262.7434765915468,21
107,kein_Terminated,Zeit abgelaufen,0.32,153,871.6672920340106,21
108,kein_Terminated,Zeit abgelaufen,0.56,331,776.1043965591244,21
109,kein_Terminated,Zeit abgelaufen,0.56,320,191.35317910804514,21
110,kein_Terminated,Zeit abgelaufen,0.48,331,19.5175541650938,21
111,kein_Terminated,Zeit abgelaufen,0.44,269,260.4952755076539,21
112,kein_Terminated,Zeit abgelaufen,0.45,36,2199.881843770249,21
113,kein_Terminated,Zeit abgelaufen,0.57,155,2033.7140875789107,21
114,kein_Terminated,Zeit abgelaufen,0.55,225,1560.7087555981989,21
115,kein_Terminated,Zeit abgelaufen,0.61,158,2369.879393373092,21
116,kein_Terminated,Zeit abgelaufen,0.53,139,2072.0345469337854,21
117,kein_Terminated,Zeit abgelaufen,0.55,105,2537.985224214819,21
118,kein_Terminated,Zeit abgelaufen,0.57,150,2309.5824157519537,21
119,kein_Terminated,Zeit abgelaufen,0.55,130,2083.9828270530143,21
120,kein_Terminated,Zeit abgelaufen,0.46,161,1463.454807215909,21
121,kein_Terminated,Zeit abgelaufen,0.59,78,2954.162747799187,21
122,kein_Terminated,Zeit abgelaufen,0.64,130,2919.111259595848,21
123,kein_Terminated,Zeit abgelaufen,0.51,313,711.7450535401008,21
124,kein_Terminated,Zeit abgelaufen,0.53,141,2170.7284446142858,21
125,kein_Terminated,Zeit abgelaufen,0.47,153,1457.0933225861806,21
126,kein_Terminated,Zeit abgelaufen,0.43,110,1674.5275780129282,21
127,kein_Terminated,Zeit abgelaufen,0.52,182,1808.5322682240221,21
128,kein_Terminated,Zeit abgelaufen,0.56,221,1670.2921717944464,21
129,kein_Terminated,Zeit abgelaufen,0.47,98,1848.4812510390984,21
130,kein_Terminated,Zeit abgelaufen,0.46,124,1768.6300790310295,21
131,kein_Terminated,Zeit abgelaufen,0.45,259,673.6104776491675,21
132,kein_Terminated,Zeit abgelaufen,0.52,135,2095.4172393736417,21
133,kein_Terminated,Zeit abgelaufen,0.47,121,1813.5797678500348,21
134,kein_Terminated,Zeit abgelaufen,0.39,384,-1397.1863165252473,21
135,kein_Terminated,Zeit abgelaufen,0.58,229,2086.386617153928,21
136,kein_Terminated,Zeit abgelaufen,0.3,192,618.7233519009746,21
137,kein_Terminated,Zeit abgelaufen,0.38,234,1070.3206283099532,21
138,kein_Terminated,Zeit abgelaufen,0.31,181,869.2570855942361,21
139,kein_Terminated,Zeit abgelaufen,0.33,156,1048.4069671657505,21
140,kein_Terminated,Zeit abgelaufen,0.18,424,-1691.712426278242,21
141,kein_Terminated,Zeit abgelaufen,0.31,306,-523.6201146909043,21
