DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,650000,99999,100,100,50,2,0.5,5,-10,0.1,0,8,3,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Beste_Modelle/M2_R6_O4_A2_TR1_T1_20250411-114143/save-04.11.2025_11.41.43/final_model.zip,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250423-004900

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
53,kein_Terminated,Zeit abgelaufen,0.18,81,1430,300.5,15,1,20250423-080237
54,kein_Terminated,Zeit abgelaufen,0.18,142,716,300.5,15,1,20250423-080251
55,kein_Terminated,Zeit abgelaufen,0.21,99,1594,300.5,15,2,20250423-080307
56,kein_Terminated,Zeit abgelaufen,0.17,168,380,300.5,8,3,20250423-080322
57,kein_Terminated,Zeit abgelaufen,0.09,296,-1904,300.5,8,3,20250423-080335
58,kein_Terminated,Zeit abgelaufen,0.08,293,-1998,300.5,8,2,20250423-080349
59,kein_Terminated,Zeit abgelaufen,0.14,25,1494,300.5,8,2,20250423-080404
60,kein_Terminated,Zeit abgelaufen,0.17,61,1482,300.5,8,2,20250423-080419
61,kein_Terminated,Zeit abgelaufen,0.18,63,1538,300.5,8,2,20250423-080434
62,kein_Terminated,Zeit abgelaufen,0.26,69,2610,300.5,8,1,20250423-080449
63,kein_Terminated,Zeit abgelaufen,0.14,73,838,300.5,26,1,20250423-080507
64,kein_Terminated,Zeit abgelaufen,0.18,84,1156,300.5,26,1,20250423-080525
65,kein_Terminated,Zeit abgelaufen,0.15,206,-416,300.5,26,1,20250423-080544
66,kein_Terminated,Zeit abgelaufen,0.15,129,382,300.5,26,1,20250423-080602
67,kein_Terminated,Zeit abgelaufen,0.15,134,348,300.5,26,5,20250423-080620
68,kein_Terminated,Zeit abgelaufen,0.08,91,-34,300.5,26,5,20250423-080638
69,kein_Terminated,Zeit abgelaufen,0.18,40,1656,300.5,26,7,20250423-080658
70,kein_Terminated,Zeit abgelaufen,0.14,95,658,300.5,26,6,20250423-080716
71,kein_Terminated,Zeit abgelaufen,0.13,48,912,300.5,26,6,20250423-080734
72,kein_Terminated,Zeit abgelaufen,0.14,152,-8,300.5,26,5,20250423-080753
73,kein_Terminated,Zeit abgelaufen,0.15,81,890,300.5,26,5,20250423-080811
