DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,20,4,FALSE,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250412-011854/save-04.12.2025_01.18.54/final_model.zip,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939_TEST_WITH_ADOPTED_MAZES
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,,
34,kein_Terminated,Zeit abgelaufen,0.2,67,-4167.75,300.5,0,7,20250415-002232,,,,,,,,,,,,,,,,,,,
35,kein_Terminated,Zeit abgelaufen,0.19,66,-4139,300.5,8,9,20250415-002246,,,,,,,,,,,,,,,,,,,
36,kein_Terminated,Zeit abgelaufen,0.2,76,-5030.5,300.5,8,9,20250415-002300,,,,,,,,,,,,,,,,,,,
37,kein_Terminated,Zeit abgelaufen,0.23,96,-6713.5,300.5,8,5,20250415-002315,,,,,,,,,,,,,,,,,,,
38,kein_Terminated,Zeit abgelaufen,0.17,123,-10189.75,300.5,8,5,20250415-002328,,,,,,,,,,,,,,,,,,,
39,kein_Terminated,Zeit abgelaufen,0.11,112,-9829.5,300.5,8,5,20250415-002342,,,,,,,,,,,,,,,,,,,
40,kein_Terminated,Zeit abgelaufen,0.2,62,-3596,300.5,8,5,20250415-002356,,,,,,,,,,,,,,,,,,,
41,kein_Terminated,Zeit abgelaufen,0.24,42,-1053,300.5,8,3,20250415-002410,,,,,,,,,,,,,,,,,,,
42,kein_Terminated,Zeit abgelaufen,0.17,80,-5773.5,300.5,8,0,20250415-002424,,,,,,,,,,,,,,,,,,,
43,kein_Terminated,Zeit abgelaufen,0.28,81,-4478.25,300.5,8,0,20250415-002438,,,,,,,,,,,,,,,,,,,
44,kein_Terminated,Zeit abgelaufen,0.25,79,-4620.75,300.5,8,0,20250415-002452,,,,,,,,,,,,,,,,,,,
45,kein_Terminated,Zeit abgelaufen,0.28,49,-1278.25,300.5,8,0,20250415-002507,,,,,,,,,,,,,,,,,,,
46,kein_Terminated,Zeit abgelaufen,0.2,92,-6630.5,300.5,8,4,20250415-002521,,,,,,,,,,,,,,,,,,,
47,kein_Terminated,Zeit abgelaufen,0.12,80,-6437.5,300.5,8,4,20250415-002534,,,,,,,,,,,,,,,,,,,
48,kein_Terminated,Zeit abgelaufen,0.14,101,-8317.25,300.5,8,7,20250415-002548,,,,,,,,,,,,,,,,,,,
49,kein_Terminated,Zeit abgelaufen,0.21,33,-550.25,300.5,0,9,20250415-002602,,,,,,,,,,,,,,,,,,,
50,kein_Terminated,Zeit abgelaufen,0.19,178,-15471,300.5,0,9,20250415-002615,,,,,,,,,,,,,,,,,,,
51,kein_Terminated,Zeit abgelaufen,0.31,42,-133,300.5,0,9,20250415-002630,,,,,,,,,,,,,,,,,,,
52,kein_Terminated,Zeit abgelaufen,0.3,35,452.25,300.5,0,9,20250415-002644,,,,,,,,,,,,,,,,,,,
53,kein_Terminated,Zeit abgelaufen,0.17,38,-1526,300.5,0,2,20250415-002658,,,,,,,,,,,,,,,,,,,
54,kein_Terminated,Zeit abgelaufen,0.25,72,-3947.5,300.5,0,2,20250415-002712,,,,,,,,,,,,,,,,,,,
55,kein_Terminated,Zeit abgelaufen,0.26,69,-3545.25,300.5,0,8,20250415-002726,,,,,,,,,,,,,,,,,,,
56,kein_Terminated,Zeit abgelaufen,0.24,74,-4541,300.5,26,4,20250415-002744,,,,,,,,,,,,,,,,,,,
57,kein_Terminated,Zeit abgelaufen,0.13,49,-3298.25,300.5,26,4,20250415-002803,,,,,,,,,,,,,,,,,,,
58,kein_Terminated,Zeit abgelaufen,0.23,49,-2118.25,300.5,26,6,20250415-002821,,,,,,,,,,,,,,,,,,,
59,kein_Terminated,Zeit abgelaufen,0.17,48,-2721.5,300.5,26,6,20250415-002839,,,,,,,,,,,,,,,,,,,
60,kein_Terminated,Zeit abgelaufen,0.17,43,-2225.75,300.5,26,3,20250415-002857,,,,,,,,,,,,,,,,,,,
61,kein_Terminated,Zeit abgelaufen,0.18,62,-4032,300.5,26,3,20250415-002915,,,,,,,,,,,,,,,,,,,
62,kein_Terminated,Zeit abgelaufen,0.32,76,-3758.5,300.5,26,3,20250415-002934,,,,,,,,,,,,,,,,,,,
63,kein_Terminated,Zeit abgelaufen,0.21,223,-19724.75,300.5,5,9,20250415-002948,,,,,,,,,,,,,,,,,,,
64,kein_Terminated,Zeit abgelaufen,0.22,129,-10102.25,300.5,5,9,20250415-003002,,,,,,,,,,,,,,,,,,,
65,kein_Terminated,Zeit abgelaufen,0.27,57,-2188.25,300.5,5,3,20250415-003015,,,,,,,,,,,,,,,,,,,
66,kein_Terminated,Zeit abgelaufen,0.17,243,-22267.75,300.5,5,3,20250415-003029,,,,,,,,,,,,,,,,,,,
67,kein_Terminated,Zeit abgelaufen,0.36,40,804.5,300.5,5,7,20250415-003043,,,,,,,,,,,,,,,,,,,
68,kein_Terminated,Zeit abgelaufen,0.41,52,155.5,300.5,5,7,20250415-003057,,,,,,,,,,,,,,,,,,,
69,kein_Terminated,Zeit abgelaufen,0.41,25,2843.75,300.5,5,5,20250415-003111,,,,,,,,,,,,,,,,,,,
70,kein_Terminated,Zeit abgelaufen,0.19,91,-6625.75,300.5,8,2,20250415-003125,,,,,,,,,,,,,,,,,,,
71,kein_Terminated,Zeit abgelaufen,0.22,74,-4613,300.5,8,2,20250415-003139,,,,,,,,,,,,,,,,,,,
72,kein_Terminated,Zeit abgelaufen,0.14,45,-2631.25,300.5,8,6,20250415-003153,,,,,,,,,,,,,,,,,,,
73,kein_Terminated,Zeit abgelaufen,0.14,38,-2002,300.5,8,6,20250415-003207,,,,,,,,,,,,,,,,,,,
74,kein_Terminated,Zeit abgelaufen,0.32,51,-911.75,300.5,8,4,20250415-003221,,,,,,,,,,,,,,,,,,,
75,kein_Terminated,Zeit abgelaufen,0.19,154,-13017,300.5,8,4,20250415-003235,,,,,,,,,,,,,,,,,,,
76,kein_Terminated,Zeit abgelaufen,0.26,73,-3976.25,300.5,8,4,20250415-003250,,,,,,,,,,,,,,,,,,,
77,kein_Terminated,Zeit abgelaufen,0.23,57,-2760.25,300.5,8,0,20250415-003304,,,,,,,,,,,,,,,,,,,
78,kein_Terminated,Zeit abgelaufen,0.37,20,2763.5,300.5,8,0,20250415-003318,,,,,,,,,,,,,,,,,,,
79,kein_Terminated,Zeit abgelaufen,0.24,73,-4204.25,300.5,8,2,20250415-003332,,,,,,,,,,,,,,,,,,,
80,kein_Terminated,Zeit abgelaufen,0.21,35,-771.75,300.5,8,2,20250415-003347,,,,,,,,,,,,,,,,,,,
81,kein_Terminated,Zeit abgelaufen,0.25,61,-2799.25,300.5,8,8,20250415-003401,,,,,,,,,,,,,,,,,,,
82,kein_Terminated,Zeit abgelaufen,0.17,29,-647.25,300.5,8,8,20250415-003415,,,,,,,,,,,,,,,,,,,
83,kein_Terminated,Zeit abgelaufen,0.2,30,-348,300.5,8,2,20250415-003429,,,,,,,,,,,,,,,,,,,
1,kein_Terminated,Zeit abgelaufen,0.05,2,489,300.5,0,4,20250415-003447,,,,,,,,,,,,,,,,,,,
84,kein_Terminated,Zeit abgelaufen,0.16,191,-17180.75,300.5,15,7,20250415-003459,,,,,,,,,,,,,,,,,,,
85,kein_Terminated,Zeit abgelaufen,0.28,116,-8036.5,300.5,15,7,20250415-003514,,,,,,,,,,,,,,,,,,,
86,kein_Terminated,Zeit abgelaufen,0.09,97,-8562.25,300.5,15,1,20250415-003528,,,,,,,,,,,,,,,,,,,
87,kein_Terminated,Zeit abgelaufen,0.1,147,-13527.75,300.5,15,1,20250415-003542,,,,,,,,,,,,,,,,,,,
88,kein_Terminated,Zeit abgelaufen,0.29,139,-10305.75,300.5,15,4,20250415-003557,,,,,,,,,,,,,,,,,,,
89,kein_Terminated,Zeit abgelaufen,0.26,92,-5934.5,300.5,15,4,20250415-003612,,,,,,,,,,,,,,,,,,,
90,kein_Terminated,Zeit abgelaufen,0.27,60,-2590.5,300.5,15,5,20250415-003627,,,,,,,,,,,,,,,,,,,
91,kein_Terminated,Zeit abgelaufen,0.24,41,-888.25,300.5,5,3,20250415-003641,,,,,,,,,,,,,,,,,,,
92,kein_Terminated,Zeit abgelaufen,0.24,134,-10330,300.5,5,3,20250415-003654,,,,,,,,,,,,,,,,,,,
93,kein_Terminated,Zeit abgelaufen,0.13,242,-22627,300.5,5,8,20250415-003708,,,,,,,,,,,,,,,,,,,
94,kein_Terminated,Zeit abgelaufen,0.27,83,-4727.75,300.5,5,8,20250415-003722,,,,,,,,,,,,,,,,,,,
95,kein_Terminated,Zeit abgelaufen,0.39,120,-6971.5,300.5,5,3,20250415-003736,,,,,,,,,,,,,,,,,,,
96,kein_Terminated,Zeit abgelaufen,0.33,40,328.5,300.5,5,3,20250415-003751,,,,,,,,,,,,,,,,,,,
97,kein_Terminated,Zeit abgelaufen,0.45,19,4088.25,300.5,5,2,20250415-003805,,,,,,,,,,,,,,,,,,,
98,kein_Terminated,Zeit abgelaufen,0.27,167,-13206.75,300.5,5,3,20250415-003818,,,,,,,,,,,,,,,,,,,
99,kein_Terminated,Zeit abgelaufen,0.24,109,-7827.25,300.5,5,3,20250415-003832,,,,,,,,,,,,,,,,,,,
100,kein_Terminated,Zeit abgelaufen,0.35,65,-1854.25,300.5,5,4,20250415-003846,,,,,,,,,,,,,,,,,,,
101,kein_Terminated,Zeit abgelaufen,0.32,36,623.5,300.5,5,4,20250415-003900,,,,,,,,,,,,,,,,,,,
102,kein_Terminated,Zeit abgelaufen,0.35,114,-6807,300.5,5,4,20250415-003914,,,,,,,,,,,,,,,,,,,
103,kein_Terminated,Zeit abgelaufen,0.37,81,-3266.25,300.5,5,4,20250415-003928,,,,,,,,,,,,,,,,,,,
104,kein_Terminated,Zeit abgelaufen,0.38,89,-3908.25,300.5,5,3,20250415-003942,,,,,,,,,,,,,,,,,,,
105,kein_Terminated,Zeit abgelaufen,0.33,155,-11265.75,300.5,8,8,20250415-003957,,,,,,,,,,,,,,,,,,,
106,kein_Terminated,Zeit abgelaufen,0.22,52,-2368.5,300.5,8,8,20250415-004011,,,,,,,,,,,,,,,,,,,
107,kein_Terminated,Zeit abgelaufen,0.14,57,-3840.25,300.5,8,7,20250415-004024,,,,,,,,,,,,,,,,,,,
108,kein_Terminated,Zeit abgelaufen,0.12,46,-2984,300.5,8,7,20250415-004038,,,,,,,,,,,,,,,,,,,
109,kein_Terminated,Zeit abgelaufen,0.21,57,-2960.25,300.5,8,4,20250415-004052,,,,,,,,,,,,,,,,,,,
110,kein_Terminated,Zeit abgelaufen,0.36,32,1450.5,300.5,8,4,20250415-004106,,,,,,,,,,,,,,,,,,,
111,kein_Terminated,Zeit abgelaufen,0.2,44,-1858.5,300.5,8,5,20250415-004120,,,,,,,,,,,,,,,,,,,
112,kein_Terminated,Zeit abgelaufen,0.23,195,-16627.75,300.5,15,8,20250415-004136,,,,,,,,,,,,,,,,,,,
113,kein_Terminated,Zeit abgelaufen,0.32,183,-14342.75,300.5,15,8,20250415-004151,,,,,,,,,,,,,,,,,,,
114,kein_Terminated,Zeit abgelaufen,0.36,193,-14822.25,300.5,15,5,20250415-004207,,,,,,,,,,,,,,,,,,,
115,kein_Terminated,Zeit abgelaufen,0.23,263,-23482.75,300.5,15,5,20250415-004222,,,,,,,,,,,,,,,,,,,
116,kein_Terminated,Zeit abgelaufen,0.12,192,-17733.5,300.5,15,2,20250415-004236,,,,,,,,,,,,,,,,,,,
117,kein_Terminated,Zeit abgelaufen,0.16,284,-26562.5,300.5,15,2,20250415-004250,,,,,,,,,,,,,,,,,,,
118,kein_Terminated,Zeit abgelaufen,0.13,69,-5209.25,300.5,15,9,20250415-004305,,,,,,,,,,,,,,,,,,,
119,kein_Terminated,Zeit abgelaufen,0.36,52,-908.5,300.5,26,9,20250415-004323,,,,,,,,,,,,,,,,,,,
120,kein_Terminated,Zeit abgelaufen,0.36,17,2557.75,300.5,26,9,20250415-004342,,,,,,,,,,,,,,,,,,,
121,kein_Terminated,Zeit abgelaufen,0.14,59,-4257.75,300.5,26,0,20250415-004400,,,,,,,,,,,,,,,,,,,
122,kein_Terminated,Zeit abgelaufen,0.4,38,1018,300.5,26,0,20250415-004419,,,,,,,,,,,,,,,,,,,
123,kein_Terminated,Zeit abgelaufen,0.36,8,3580.5,300.5,26,1,20250415-004437,,,,,,,,,,,,,,,,,,,
124,kein_Terminated,Zeit abgelaufen,0.31,151,-11446.75,300.5,26,1,20250415-004456,,,,,,,,,,,,,,,,,,,
