DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,20,4,FALSE,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250412-011854/save-04.12.2025_01.18.54/final_model.zip,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939_TEST_WITH_ADOPTED_MAZES
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,,
139,kein_Terminated,Zeit abgelaufen,0.25,229,-19829.25,300.5,0,3,20250415-004829,,,,,,,,,,,,,,,,,,,
140,kein_Terminated,Zeit abgelaufen,0.1,50,-3667,300.5,5,2,20250415-004843,,,,,,,,,,,,,,,,,,,
141,kein_Terminated,Zeit abgelaufen,0.2,65,-3850.25,300.5,5,2,20250415-004856,,,,,,,,,,,,,,,,,,,
142,kein_Terminated,Zeit abgelaufen,0.32,24,1840.5,300.5,5,1,20250415-004911,,,,,,,,,,,,,,,,,,,
143,kein_Terminated,Zeit abgelaufen,0.31,204,-16414.5,300.5,5,1,20250415-004925,,,,,,,,,,,,,,,,,,,
144,kein_Terminated,Zeit abgelaufen,0.28,19,1752.25,300.5,5,7,20250415-004938,,,,,,,,,,,,,,,,,,,
145,kein_Terminated,Zeit abgelaufen,0.26,25,967.75,300.5,5,7,20250415-004953,,,,,,,,,,,,,,,,,,,
146,kein_Terminated,Zeit abgelaufen,0.4,44,857.5,300.5,5,2,20250415-005007,,,,,,,,,,,,,,,,,,,
147,kein_Terminated,Zeit abgelaufen,0.53,78,-868,300.5,5,7,20250415-005021,,,,,,,,,,,,,,,,,,,
148,kein_Terminated,Zeit abgelaufen,0.43,57,-100.25,300.5,5,7,20250415-005035,,,,,,,,,,,,,,,,,,,
149,kein_Terminated,Zeit abgelaufen,0.45,51,792.25,300.5,5,1,20250415-005050,,,,,,,,,,,,,,,,,,,
150,kein_Terminated,Zeit abgelaufen,0.43,49,693.75,300.5,5,1,20250415-005104,,,,,,,,,,,,,,,,,,,
151,kein_Terminated,Zeit abgelaufen,0.31,21,2042.75,300.5,5,9,20250415-005118,,,,,,,,,,,,,,,,,,,
152,kein_Terminated,Zeit abgelaufen,0.35,27,1982.25,300.5,5,9,20250415-005132,,,,,,,,,,,,,,,,,,,
153,kein_Terminated,Zeit abgelaufen,0.47,18,4425,300.5,5,0,20250415-005146,,,,,,,,,,,,,,,,,,,
154,kein_Terminated,Zeit abgelaufen,0.23,308,-28064.5,300.5,15,4,20250415-005201,,,,,,,,,,,,,,,,,,,
155,kein_Terminated,Zeit abgelaufen,0.3,380,-34410.5,300.5,15,4,20250415-005217,,,,,,,,,,,,,,,,,,,
156,kein_Terminated,Zeit abgelaufen,0.31,104,-6527.5,300.5,15,8,20250415-005233,,,,,,,,,,,,,,,,,,,
157,kein_Terminated,Zeit abgelaufen,0.36,15,3067.25,300.5,15,8,20250415-005248,,,,,,,,,,,,,,,,,,,
158,kein_Terminated,Zeit abgelaufen,0.12,61,-4623.25,300.5,15,1,20250415-005302,,,,,,,,,,,,,,,,,,,
159,kein_Terminated,Zeit abgelaufen,0.04,50,-4431,300.5,15,1,20250415-005316,,,,,,,,,,,,,,,,,,,
160,kein_Terminated,Zeit abgelaufen,0.13,8,876.5,300.5,15,9,20250415-005330,,,,,,,,,,,,,,,,,,,
161,kein_Terminated,Zeit abgelaufen,0.47,156,-9598.5,300.5,8,6,20250415-005345,,,,,,,,,,,,,,,,,,,
162,kein_Terminated,Zeit abgelaufen,0.28,106,-6985,300.5,8,6,20250415-005359,,,,,,,,,,,,,,,,,,,
163,kein_Terminated,Zeit abgelaufen,0.34,185,-14248.25,300.5,8,6,20250415-005413,,,,,,,,,,,,,,,,,,,
164,kein_Terminated,Zeit abgelaufen,0.31,33,781.75,300.5,8,6,20250415-005428,,,,,,,,,,,,,,,,,,,
165,kein_Terminated,Zeit abgelaufen,0.38,18,3153,300.5,8,6,20250415-005442,,,,,,,,,,,,,,,,,,,
166,kein_Terminated,Zeit abgelaufen,0.37,175,-12812.75,300.5,8,6,20250415-005457,,,,,,,,,,,,,,,,,,,
2,kein_Terminated,Zeit abgelaufen,0.06,6,278,300.5,0,1,20250415-005514,,,,,,,,,,,,,,,,,,,
167,kein_Terminated,Zeit abgelaufen,0.3,35,344.25,300.5,8,2,20250415-005524,,,,,,,,,,,,,,,,,,,
168,kein_Terminated,Zeit abgelaufen,0.36,203,-15677.75,300.5,5,8,20250415-005539,,,,,,,,,,,,,,,,,,,
169,kein_Terminated,Zeit abgelaufen,0.24,27,418.25,300.5,5,8,20250415-005552,,,,,,,,,,,,,,,,,,,
170,kein_Terminated,Zeit abgelaufen,0.32,320,-28005.5,300.5,5,8,20250415-005607,,,,,,,,,,,,,,,,,,,
171,kein_Terminated,Zeit abgelaufen,0.27,34,221,300.5,5,8,20250415-005620,,,,,,,,,,,,,,,,,,,
172,kein_Terminated,Zeit abgelaufen,0.47,181,-11965.25,300.5,5,7,20250415-005634,,,,,,,,,,,,,,,,,,,
173,kein_Terminated,Zeit abgelaufen,0.39,188,-13742.5,300.5,5,7,20250415-005648,,,,,,,,,,,,,,,,,,,
174,kein_Terminated,Zeit abgelaufen,0.37,19,2936.25,300.5,5,1,20250415-005702,,,,,,,,,,,,,,,,,,,
175,kein_Terminated,Zeit abgelaufen,0.41,44,913.5,300.5,8,2,20250415-005717,,,,,,,,,,,,,,,,,,,
176,kein_Terminated,Zeit abgelaufen,0.25,20,1311.5,300.5,8,2,20250415-005731,,,,,,,,,,,,,,,,,,,
177,kein_Terminated,Zeit abgelaufen,0.24,40,-851.5,300.5,8,5,20250415-005745,,,,,,,,,,,,,,,,,,,
178,kein_Terminated,Zeit abgelaufen,0.29,377,-34204.25,300.5,8,5,20250415-005759,,,,,,,,,,,,,,,,,,,
179,kein_Terminated,Zeit abgelaufen,0.22,24,528.5,300.5,8,4,20250415-005814,,,,,,,,,,,,,,,,,,,
180,kein_Terminated,Zeit abgelaufen,0.2,9,1731.75,300.5,8,4,20250415-005828,,,,,,,,,,,,,,,,,,,
181,kein_Terminated,Zeit abgelaufen,0.11,50,-3591,300.5,8,8,20250415-005842,,,,,,,,,,,,,,,,,,,
182,kein_Terminated,Zeit abgelaufen,0.11,5,942.75,300.5,0,1,20250415-005856,,,,,,,,,,,,,,,,,,,
183,kein_Terminated,Zeit abgelaufen,0.2,206,-18084,300.5,0,1,20250415-005910,,,,,,,,,,,,,,,,,,,
184,kein_Terminated,Zeit abgelaufen,0.1,1,1233.75,300.5,0,1,20250415-005924,,,,,,,,,,,,,,,,,,,
185,kein_Terminated,Zeit abgelaufen,0.17,7,1577.25,300.5,0,1,20250415-005938,,,,,,,,,,,,,,,,,,,
186,kein_Terminated,Zeit abgelaufen,0.38,83,-3411.75,300.5,0,2,20250415-005952,,,,,,,,,,,,,,,,,,,
187,kein_Terminated,Zeit abgelaufen,0.43,27,2958.25,300.5,0,2,20250415-010007,,,,,,,,,,,,,,,,,,,
188,kein_Terminated,Zeit abgelaufen,0.17,8,1424.5,300.5,0,9,20250415-010021,,,,,,,,,,,,,,,,,,,
189,kein_Terminated,Zeit abgelaufen,0.07,10,15,300.5,0,0,20250415-010035,,,,,,,,,,,,,,,,,,,
190,kein_Terminated,Zeit abgelaufen,0.07,1,857.75,300.5,0,0,20250415-010049,,,,,,,,,,,,,,,,,,,
191,kein_Terminated,Zeit abgelaufen,0.18,291,-26967.75,300.5,0,8,20250415-010103,,,,,,,,,,,,,,,,,,,
192,kein_Terminated,Zeit abgelaufen,0.26,183,-15038.75,300.5,0,8,20250415-010118,,,,,,,,,,,,,,,,,,,
193,kein_Terminated,Zeit abgelaufen,0.17,11,1142.25,300.5,0,1,20250415-010132,,,,,,,,,,,,,,,,,,,
194,kein_Terminated,Zeit abgelaufen,0.11,8,676.5,300.5,0,1,20250415-010146,,,,,,,,,,,,,,,,,,,
195,kein_Terminated,Zeit abgelaufen,0.24,247,-21666.75,300.5,0,2,20250415-010200,,,,,,,,,,,,,,,,,,,
196,kein_Terminated,Zeit abgelaufen,0.21,8,2000.5,300.5,8,5,20250415-010215,,,,,,,,,,,,,,,,,,,
197,kein_Terminated,Zeit abgelaufen,0.14,8,1064.5,300.5,8,5,20250415-010229,,,,,,,,,,,,,,,,,,,
198,kein_Terminated,Zeit abgelaufen,0.4,177,-12654.25,300.5,8,7,20250415-010244,,,,,,,,,,,,,,,,,,,
199,kein_Terminated,Zeit abgelaufen,0.23,92,-6186.5,300.5,8,7,20250415-010258,,,,,,,,,,,,,,,,,,,
200,kein_Terminated,Zeit abgelaufen,0.17,43,-2057.75,300.5,8,1,20250415-010312,,,,,,,,,,,,,,,,,,,
201,kein_Terminated,Zeit abgelaufen,0.35,81,-3590.25,300.5,8,1,20250415-010326,,,,,,,,,,,,,,,,,,,
202,kein_Terminated,Zeit abgelaufen,0.34,292,-25008.5,300.5,8,6,20250415-010340,,,,,,,,,,,,,,,,,,,
203,kein_Terminated,Zeit abgelaufen,0.21,278,-25250,300.5,8,9,20250415-010354,,,,,,,,,,,,,,,,,,,
204,kein_Terminated,Zeit abgelaufen,0.37,135,-8834.75,300.5,8,9,20250415-010409,,,,,,,,,,,,,,,,,,,
205,kein_Terminated,Zeit abgelaufen,0.33,65,-2206.25,300.5,8,1,20250415-010424,,,,,,,,,,,,,,,,,,,
206,kein_Terminated,Zeit abgelaufen,0.31,76,-3570.5,300.5,8,1,20250415-010438,,,,,,,,,,,,,,,,,,,
207,kein_Terminated,Zeit abgelaufen,0.17,2,1985,300.5,8,7,20250415-010452,,,,,,,,,,,,,,,,,,,
208,kein_Terminated,Zeit abgelaufen,0.48,9,5347.75,300.5,8,7,20250415-010507,,,,,,,,,,,,,,,,,,,
209,kein_Terminated,Zeit abgelaufen,0.21,11,1698.25,300.5,8,7,20250415-010521,,,,,,,,,,,,,,,,,,,
210,kein_Terminated,Zeit abgelaufen,0.36,13,3432.75,300.5,0,0,20250415-010536,,,,,,,,,,,,,,,,,,,
211,kein_Terminated,Zeit abgelaufen,0.33,23,2033.25,300.5,0,0,20250415-010550,,,,,,,,,,,,,,,,,,,
212,kein_Terminated,Zeit abgelaufen,0.13,148,-13120.5,300.5,0,1,20250415-010604,,,,,,,,,,,,,,,,,,,
213,kein_Terminated,Zeit abgelaufen,0.2,5,2094.75,300.5,0,1,20250415-010618,,,,,,,,,,,,,,,,,,,
214,kein_Terminated,Zeit abgelaufen,0.18,12,1213.5,300.5,0,7,20250415-010631,,,,,,,,,,,,,,,,,,,
215,kein_Terminated,Zeit abgelaufen,0.18,9,1467.75,300.5,0,7,20250415-010645,,,,,,,,,,,,,,,,,,,
216,kein_Terminated,Zeit abgelaufen,0.11,8,724.5,300.5,0,3,20250415-010659,,,,,,,,,,,,,,,,,,,
217,kein_Terminated,Zeit abgelaufen,0.26,66,-3267,300.5,8,9,20250415-010713,,,,,,,,,,,,,,,,,,,
218,kein_Terminated,Zeit abgelaufen,0.12,526,-51412,300.5,8,9,20250415-010727,,,,,,,,,,,,,,,,,,,
219,kein_Terminated,Zeit abgelaufen,0.4,5,4790.75,300.5,8,0,20250415-010742,,,,,,,,,,,,,,,,,,,
220,kein_Terminated,Zeit abgelaufen,0.37,132,-8464.5,300.5,8,0,20250415-010757,,,,,,,,,,,,,,,,,,,
221,kein_Terminated,Zeit abgelaufen,0.35,61,-1627.25,300.5,8,0,20250415-010811,,,,,,,,,,,,,,,,,,,
222,kein_Terminated,Zeit abgelaufen,0.53,46,2300,300.5,8,0,20250415-010826,,,,,,,,,,,,,,,,,,,
223,kein_Terminated,Zeit abgelaufen,0.26,157,-12427.25,300.5,8,5,20250415-010840,,,,,,,,,,,,,,,,,,,
224,kein_Terminated,Zeit abgelaufen,0.11,27,-1293.75,300.5,8,8,20250415-010854,,,,,,,,,,,,,,,,,,,
225,kein_Terminated,Zeit abgelaufen,0.1,14,-80,300.5,8,8,20250415-010907,,,,,,,,,,,,,,,,,,,
226,kein_Terminated,Zeit abgelaufen,0.26,436,-40540.5,300.5,8,2,20250415-010923,,,,,,,,,,,,,,,,,,,
227,kein_Terminated,Zeit abgelaufen,0.33,27,1574.25,300.5,8,2,20250415-010938,,,,,,,,,,,,,,,,,,,
228,kein_Terminated,Zeit abgelaufen,0.22,5,2366.75,300.5,8,0,20250415-010952,,,,,,,,,,,,,,,,,,,
229,kein_Terminated,Zeit abgelaufen,0.24,156,-12518.5,300.5,8,0,20250415-011006,,,,,,,,,,,,,,,,,,,
230,kein_Terminated,Zeit abgelaufen,0.16,4,1759.5,300.5,8,1,20250415-011020,,,,,,,,,,,,,,,,,,,
231,kein_Terminated,Zeit abgelaufen,0.18,20,391.5,300.5,8,1,20250415-011034,,,,,,,,,,,,,,,,,,,
232,kein_Terminated,Zeit abgelaufen,0.14,1,1801.75,300.5,8,1,20250415-011047,,,,,,,,,,,,,,,,,,,
233,kein_Terminated,Zeit abgelaufen,0.5,24,4104.5,300.5,8,4,20250415-011102,,,,,,,,,,,,,,,,,,,
234,kein_Terminated,Zeit abgelaufen,0.29,1,3689.75,300.5,8,4,20250415-011116,,,,,,,,,,,,,,,,,,,
235,kein_Terminated,Zeit abgelaufen,0.32,1,4141.75,300.5,8,4,20250415-011131,,,,,,,,,,,,,,,,,,,
236,kein_Terminated,Zeit abgelaufen,0.38,51,-187.75,300.5,8,4,20250415-011145,,,,,,,,,,,,,,,,,,,
237,kein_Terminated,Zeit abgelaufen,0.28,15,2091.25,300.5,8,9,20250415-011200,,,,,,,,,,,,,,,,,,,
238,kein_Terminated,Zeit abgelaufen,0.12,0,1534.5,300.5,26,8,20250415-011218,,,,,,,,,,,,,,,,,,,
239,kein_Terminated,Zeit abgelaufen,0.21,0,2526.5,300.5,26,8,20250415-011236,,,,,,,,,,,,,,,,,,,
240,kein_Terminated,Zeit abgelaufen,0.33,5,3426.75,300.5,26,3,20250415-011255,,,,,,,,,,,,,,,,,,,
241,kein_Terminated,Zeit abgelaufen,0.14,2,1453,300.5,26,3,20250415-011313,,,,,,,,,,,,,,,,,,,
242,kein_Terminated,Zeit abgelaufen,0.22,10,1691,300.5,26,5,20250415-011332,,,,,,,,,,,,,,,,,,,
243,kein_Terminated,Zeit abgelaufen,0.23,15,1263.25,300.5,26,5,20250415-011350,,,,,,,,,,,,,,,,,,,
244,kein_Terminated,Zeit abgelaufen,0.48,26,3123,300.5,26,6,20250415-011409,,,,,,,,,,,,,,,,,,,
245,kein_Terminated,Zeit abgelaufen,0.13,133,-11689.25,300.5,5,4,20250415-011422,,,,,,,,,,,,,,,,,,,
246,kein_Terminated,Zeit abgelaufen,0.39,49,177.75,300.5,5,4,20250415-011436,,,,,,,,,,,,,,,,,,,
247,kein_Terminated,Zeit abgelaufen,0.32,126,-8480,300.5,5,0,20250415-011450,,,,,,,,,,,,,,,,,,,
248,kein_Terminated,Zeit abgelaufen,0.42,209,-15482.25,300.5,5,0,20250415-011504,,,,,,,,,,,,,,,,,,,
249,kein_Terminated,Zeit abgelaufen,0.24,354,-32519,300.5,5,8,20250415-011519,,,,,,,,,,,,,,,,,,,
3,kein_Terminated,Zeit abgelaufen,0.02,0,318.5,300.5,0,6,20250415-011537,,,,,,,,,,,,,,,,,,,
250,kein_Terminated,Zeit abgelaufen,0.32,169,-12732.25,300.5,5,8,20250415-011547,,,,,,,,,,,,,,,,,,,
251,kein_Terminated,Zeit abgelaufen,0.25,64,-3065.5,300.5,5,7,20250415-011600,,,,,,,,,,,,,,,,,,,
252,kein_Terminated,Zeit abgelaufen,0.2,49,-2322.25,300.5,15,0,20250415-011616,,,,,,,,,,,,,,,,,,,
253,kein_Terminated,Zeit abgelaufen,0.2,128,-10357.5,300.5,15,0,20250415-011630,,,,,,,,,,,,,,,,,,,
254,kein_Terminated,Zeit abgelaufen,0.05,19,-1171.75,300.5,15,3,20250415-011645,,,,,,,,,,,,,,,,,,,
255,kein_Terminated,Zeit abgelaufen,0.06,11,-341.75,300.5,15,3,20250415-011659,,,,,,,,,,,,,,,,,,,
256,kein_Terminated,Zeit abgelaufen,0.17,12,957.5,300.5,15,7,20250415-011714,,,,,,,,,,,,,,,,,,,
257,kein_Terminated,Zeit abgelaufen,0.23,3,2708.25,300.5,15,7,20250415-011729,,,,,,,,,,,,,,,,,,,
258,kein_Terminated,Zeit abgelaufen,0.18,100,-7780.5,300.5,15,0,20250415-011745,,,,,,,,,,,,,,,,,,,
259,kein_Terminated,Zeit abgelaufen,0.52,8,6060.5,300.5,5,9,20250415-011759,,,,,,,,,,,,,,,,,,,
260,kein_Terminated,Zeit abgelaufen,0.45,89,-3060.25,300.5,5,9,20250415-011814,,,,,,,,,,,,,,,,,,,
261,kein_Terminated,Zeit abgelaufen,0.35,19,2672.25,300.5,5,4,20250415-011828,,,,,,,,,,,,,,,,,,,
262,kein_Terminated,Zeit abgelaufen,0.41,8,4700.5,300.5,5,4,20250415-011842,,,,,,,,,,,,,,,,,,,
263,kein_Terminated,Zeit abgelaufen,0.35,154,-10897,300.5,5,2,20250415-011856,,,,,,,,,,,,,,,,,,,
264,kein_Terminated,Zeit abgelaufen,0.49,55,893.25,300.5,5,2,20250415-011910,,,,,,,,,,,,,,,,,,,
265,kein_Terminated,Zeit abgelaufen,0.29,83,-4515.75,300.5,5,6,20250415-011924,,,,,,,,,,,,,,,,,,,
266,kein_Terminated,Zeit abgelaufen,0.11,1,1293.75,300.5,26,3,20250415-011942,,,,,,,,,,,,,,,,,,,
267,kein_Terminated,Zeit abgelaufen,0.19,3,1988.25,300.5,26,3,20250415-012000,,,,,,,,,,,,,,,,,,,
268,kein_Terminated,Zeit abgelaufen,0.42,5,4506.75,300.5,26,8,20250415-012019,,,,,,,,,,,,,,,,,,,
269,kein_Terminated,Zeit abgelaufen,0.4,2,4645,300.5,26,8,20250415-012038,,,,,,,,,,,,,,,,,,,
270,kein_Terminated,Zeit abgelaufen,0.24,33,-442.25,300.5,26,0,20250415-012056,,,,,,,,,,,,,,,,,,,
271,kein_Terminated,Zeit abgelaufen,0.29,5,2958.75,300.5,26,0,20250415-012114,,,,,,,,,,,,,,,,,,,
272,kein_Terminated,Zeit abgelaufen,0.36,3,3976.25,300.5,26,9,20250415-012132,,,,,,,,,,,,,,,,,,,
273,kein_Terminated,Zeit abgelaufen,0.14,15,211.25,300.5,26,2,20250415-012151,,,,,,,,,,,,,,,,,,,
274,kein_Terminated,Zeit abgelaufen,0.15,2,1637,300.5,26,2,20250415-012209,,,,,,,,,,,,,,,,,,,
275,kein_Terminated,Zeit abgelaufen,0.07,0,826.5,300.5,26,1,20250415-012227,,,,,,,,,,,,,,,,,,,
276,kein_Terminated,Zeit abgelaufen,0.07,4,511.5,300.5,26,1,20250415-012245,,,,,,,,,,,,,,,,,,,
277,kein_Terminated,Zeit abgelaufen,0.34,7,3325.25,300.5,26,7,20250415-012304,,,,,,,,,,,,,,,,,,,
278,kein_Terminated,Zeit abgelaufen,0.29,3,3176.25,300.5,26,7,20250415-012323,,,,,,,,,,,,,,,,,,,
279,kein_Terminated,Zeit abgelaufen,0.3,2,3393,300.5,26,2,20250415-012342,,,,,,,,,,,,,,,,,,,
280,kein_Terminated,Zeit abgelaufen,0.04,2,397,300.5,15,3,20250415-012356,,,,,,,,,,,,,,,,,,,
281,kein_Terminated,Zeit abgelaufen,0.03,2,289,300.5,15,3,20250415-012411,,,,,,,,,,,,,,,,,,,
282,kein_Terminated,Zeit abgelaufen,0.45,259,-20387.75,300.5,15,8,20250415-012426,,,,,,,,,,,,,,,,,,,
283,kein_Terminated,Zeit abgelaufen,0.28,17,1925.75,300.5,15,8,20250415-012441,,,,,,,,,,,,,,,,,,,
284,kein_Terminated,Zeit abgelaufen,0.22,408,-38203.5,300.5,15,4,20250415-012457,,,,,,,,,,,,,,,,,,,
285,kein_Terminated,Zeit abgelaufen,0.14,7,1157.25,300.5,15,4,20250415-012512,,,,,,,,,,,,,,,,,,,
286,kein_Terminated,Zeit abgelaufen,0.34,36,779.5,300.5,15,8,20250415-012528,,,,,,,,,,,,,,,,,,,
287,kein_Terminated,Zeit abgelaufen,0.54,92,-2094.5,300.5,5,0,20250415-012542,,,,,,,,,,,,,,,,,,,
288,kein_Terminated,Zeit abgelaufen,0.51,196,-12992.5,300.5,5,0,20250415-012556,,,,,,,,,,,,,,,,,,,
289,kein_Terminated,Zeit abgelaufen,0.58,3,7304.25,300.5,5,8,20250415-012610,,,,,,,,,,,,,,,,,,,
290,kein_Terminated,Zeit abgelaufen,0.29,329,-29304.25,300.5,5,8,20250415-012624,,,,,,,,,,,,,,,,,,,
291,kein_Terminated,Zeit abgelaufen,0.52,6,6230,300.5,5,1,20250415-012639,,,,,,,,,,,,,,,,,,,
292,kein_Terminated,Zeit abgelaufen,0.3,0,4034.5,300.5,5,1,20250415-012653,,,,,,,,,,,,,,,,,,,
293,kein_Terminated,Zeit abgelaufen,0.42,151,-9714.75,300.5,5,6,20250415-012707,,,,,,,,,,,,,,,,,,,
294,kein_Terminated,Zeit abgelaufen,0.48,3,5948.25,300.5,0,4,20250415-012721,,,,,,,,,,,,,,,,,,,
295,kein_Terminated,Zeit abgelaufen,0.28,1,3629.75,300.5,0,4,20250415-012735,,,,,,,,,,,,,,,,,,,
296,kein_Terminated,Zeit abgelaufen,0.55,55,1665.25,300.5,0,7,20250415-012750,,,,,,,,,,,,,,,,,,,
297,kein_Terminated,Zeit abgelaufen,0.37,109,-6123.25,300.5,0,7,20250415-012804,,,,,,,,,,,,,,,,,,,
298,kein_Terminated,Zeit abgelaufen,0.29,5,3374.75,300.5,0,4,20250415-012818,,,,,,,,,,,,,,,,,,,
299,kein_Terminated,Zeit abgelaufen,0.31,1,3953.75,300.5,0,4,20250415-012832,,,,,,,,,,,,,,,,,,,
300,kein_Terminated,Zeit abgelaufen,0.18,4,2043.5,300.5,0,7,20250415-012846,,,,,,,,,,,,,,,,,,,
301,kein_Terminated,Zeit abgelaufen,0.48,22,4070,300.5,8,1,20250415-012901,,,,,,,,,,,,,,,,,,,
302,kein_Terminated,Zeit abgelaufen,0.34,3,4196.25,300.5,8,1,20250415-012915,,,,,,,,,,,,,,,,,,,
303,kein_Terminated,Zeit abgelaufen,0.47,143,-8244.75,300.5,8,2,20250415-012930,,,,,,,,,,,,,,,,,,,
304,kein_Terminated,Zeit abgelaufen,0.51,29,3684.75,300.5,8,2,20250415-012944,,,,,,,,,,,,,,,,,,,
305,kein_Terminated,Zeit abgelaufen,0.2,11,1486.25,300.5,8,2,20250415-012958,,,,,,,,,,,,,,,,,,,
306,kein_Terminated,Zeit abgelaufen,0.27,50,-1491,300.5,8,2,20250415-013012,,,,,,,,,,,,,,,,,,,
307,kein_Terminated,Zeit abgelaufen,0.51,50,1585,300.5,8,8,20250415-013027,,,,,,,,,,,,,,,,,,,
308,kein_Terminated,Zeit abgelaufen,0.62,22,5878,300.5,8,4,20250415-013041,,,,,,,,,,,,,,,,,,,
309,kein_Terminated,Zeit abgelaufen,0.36,234,-18869,300.5,8,4,20250415-013056,,,,,,,,,,,,,,,,,,,
310,kein_Terminated,Zeit abgelaufen,0.53,25,4411.75,300.5,8,4,20250415-013110,,,,,,,,,,,,,,,,,,,
311,kein_Terminated,Zeit abgelaufen,0.38,18,3201,300.5,8,4,20250415-013125,,,,,,,,,,,,,,,,,,,
312,kein_Terminated,Zeit abgelaufen,0.53,74,-509,300.5,8,4,20250415-013140,,,,,,,,,,,,,,,,,,,
313,kein_Terminated,Zeit abgelaufen,0.34,40,356.5,300.5,8,4,20250415-013154,,,,,,,,,,,,,,,,,,,
314,kein_Terminated,Zeit abgelaufen,0.55,126,-5552,300.5,8,1,20250415-013209,,,,,,,,,,,,,,,,,,,
315,kein_Terminated,Zeit abgelaufen,0.39,246,-19686,300.5,5,5,20250415-013222,,,,,,,,,,,,,,,,,,,
316,kein_Terminated,Zeit abgelaufen,0.36,10,3735,300.5,5,5,20250415-013237,,,,,,,,,,,,,,,,,,,
317,kein_Terminated,Zeit abgelaufen,0.51,80,-1329.5,300.5,5,5,20250415-013251,,,,,,,,,,,,,,,,,,,
318,kein_Terminated,Zeit abgelaufen,0.25,283,-25241.75,300.5,5,5,20250415-013306,,,,,,,,,,,,,,,,,,,
319,kein_Terminated,Zeit abgelaufen,0.08,6,554,300.5,5,5,20250415-013319,,,,,,,,,,,,,,,,,,,
320,kein_Terminated,Zeit abgelaufen,0.1,90,-7709,300.5,5,5,20250415-013332,,,,,,,,,,,,,,,,,,,
321,kein_Terminated,Zeit abgelaufen,0.57,12,6345.5,300.5,5,2,20250415-013347,,,,,,,,,,,,,,,,,,,
322,kein_Terminated,Zeit abgelaufen,0.08,146,-13567,300.5,5,5,20250415-013400,,,,,,,,,,,,,,,,,,,
323,kein_Terminated,Zeit abgelaufen,0.55,24,4840.5,300.5,5,5,20250415-013414,,,,,,,,,,,,,,,,,,,
324,kein_Terminated,Zeit abgelaufen,0.53,4,6575.5,300.5,5,8,20250415-013428,,,,,,,,,,,,,,,,,,,
325,kein_Terminated,Zeit abgelaufen,0.47,6,5558,300.5,5,8,20250415-013442,,,,,,,,,,,,,,,,,,,
326,kein_Terminated,Zeit abgelaufen,0.33,1,4229.75,300.5,5,0,20250415-013456,,,,,,,,,,,,,,,,,,,
327,kein_Terminated,Zeit abgelaufen,0.57,194,-11983,300.5,5,0,20250415-013510,,,,,,,,,,,,,,,,,,,
328,kein_Terminated,Zeit abgelaufen,0.53,71,-78.75,300.5,5,1,20250415-013524,,,,,,,,,,,,,,,,,,,
329,kein_Terminated,Zeit abgelaufen,0.4,90,-3917,300.5,15,2,20250415-013539,,,,,,,,,,,,,,,,,,,
330,kein_Terminated,Zeit abgelaufen,0.37,299,-25409.75,300.5,15,2,20250415-013554,,,,,,,,,,,,,,,,,,,
331,kein_Terminated,Zeit abgelaufen,0.29,58,-2173,300.5,15,9,20250415-013610,,,,,,,,,,,,,,,,,,,
332,kein_Terminated,Zeit abgelaufen,0.25,34,-151,300.5,15,9,20250415-013626,,,,,,,,,,,,,,,,,,,
4,kein_Terminated,Zeit abgelaufen,0.01,599,-60162.75,300.5,5,7,20250415-013644,,,,,,,,,,,,,,,,,,,
333,kein_Terminated,Zeit abgelaufen,0.07,570,-56469,300.5,15,7,20250415-013654,,,,,,,,,,,,,,,,,,,
