DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad,DEFAULT_UseOrderedMazeAndStartingPositionInsteadOfRandom,DEFAULT_NumberOfRunsOnEachStartingPosition
2,300,4,0,50000,1,750000,99999,100,100,50,2,0.5,5,-20,0.35,0,8,3,False,,"(27, 28, 29, 30, 31)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250425-231500,False,3

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
54,kein_Terminated,Zeit abgelaufen,0.27,0,2592,300.5,29,0,20250425-235909
55,kein_Terminated,Zeit abgelaufen,0.33,0,2660,300.5,29,2,20250425-235937
56,kein_Terminated,Zeit abgelaufen,0.34,0,2560,300.5,29,3,20250426-000005
57,kein_Terminated,Zeit abgelaufen,0.27,0,2540,300.5,29,9,20250426-000033
58,kein_Terminated,Zeit abgelaufen,0.3,0,3060,300.5,29,5,20250426-000101
59,kein_Terminated,Zeit abgelaufen,0.31,0,2500,300.5,29,3,20250426-000128
60,kein_Terminated,Zeit abgelaufen,0.32,0,3176,300.5,29,7,20250426-000157
61,kein_Terminated,Zeit abgelaufen,0.31,2,2544,300.5,29,1,20250426-000224
62,kein_Terminated,Zeit abgelaufen,0.35,2,3108,300.5,29,2,20250426-000252
63,kein_Terminated,Zeit abgelaufen,0.27,0,1696,300.5,29,0,20250426-000320
64,kein_Terminated,Zeit abgelaufen,0.3,1,2680,300.5,29,2,20250426-000348
65,kein_Terminated,Zeit abgelaufen,0.37,2,3356,300.5,29,4,20250426-000416
66,kein_Terminated,Zeit abgelaufen,0.28,0,3096,300.5,29,5,20250426-000444
67,kein_Terminated,Zeit abgelaufen,0.38,4,2936,300.5,29,4,20250426-000511
68,kein_Terminated,Zeit abgelaufen,0.3,0,2476,300.5,29,5,20250426-000539
69,kein_Terminated,Zeit abgelaufen,0.31,1,2168,300.5,29,6,20250426-000607
70,kein_Terminated,Zeit abgelaufen,0.37,2,3188,300.5,29,3,20250426-000635
71,kein_Terminated,Zeit abgelaufen,0.33,0,2728,300.5,29,3,20250426-000703
72,kein_Terminated,Zeit abgelaufen,0.27,0,2072,300.5,29,9,20250426-000730
73,kein_Terminated,Zeit abgelaufen,0.31,0,3044,300.5,29,0,20250426-000758
74,kein_Terminated,Zeit abgelaufen,0.38,0,3500,300.5,29,4,20250426-000826
75,kein_Terminated,Zeit abgelaufen,0.33,0,2336,300.5,29,7,20250426-000853
76,kein_Terminated,Zeit abgelaufen,0.31,2,2836,300.5,29,3,20250426-000922
77,kein_Terminated,Zeit abgelaufen,0.33,1,2516,300.5,29,6,20250426-000950
78,kein_Terminated,Zeit abgelaufen,0.37,0,3344,300.5,29,2,20250426-001018
79,kein_Terminated,Zeit abgelaufen,0.32,0,2972,300.5,29,2,20250426-001046
80,kein_Terminated,Zeit abgelaufen,0.35,0,3072,300.5,29,5,20250426-001114
81,kein_Terminated,Zeit abgelaufen,0.26,0,856,300.5,29,8,20250426-001142
82,kein_Terminated,Zeit abgelaufen,0.37,0,3584,300.5,29,4,20250426-001209
83,kein_Terminated,Zeit abgelaufen,0.32,0,3244,300.5,29,0,20250426-001237
1,kein_Terminated,Zeit abgelaufen,0.28,0,2728,300.5,29,9,20250426-001305
84,kein_Terminated,Zeit abgelaufen,0.32,7,2532,300.5,29,6,20250426-001328
85,kein_Terminated,Zeit abgelaufen,0.28,0,2624,300.5,29,9,20250426-001356
86,kein_Terminated,Zeit abgelaufen,0.31,0,2120,300.5,29,2,20250426-001424
87,kein_Terminated,Zeit abgelaufen,0.35,3,2856,300.5,29,1,20250426-001452
88,kein_Terminated,Zeit abgelaufen,0.31,0,2784,300.5,29,0,20250426-001519
89,kein_Terminated,Zeit abgelaufen,0.35,5,3272,300.5,29,2,20250426-001548
90,kein_Terminated,Zeit abgelaufen,0.4,0,3868,300.5,29,4,20250426-001616
91,kein_Terminated,Zeit abgelaufen,0.36,0,3344,300.5,29,4,20250426-001643
92,kein_Terminated,Zeit abgelaufen,0.38,2,3604,300.5,29,4,20250426-001711
93,kein_Terminated,Zeit abgelaufen,0.25,0,2444,300.5,29,9,20250426-001739
94,kein_Terminated,Zeit abgelaufen,0.29,0,3136,300.5,29,5,20250426-001807
95,kein_Terminated,Zeit abgelaufen,0.32,0,3148,300.5,29,6,20250426-001835
96,kein_Terminated,Zeit abgelaufen,0.34,0,3168,300.5,29,3,20250426-001903
97,kein_Terminated,Zeit abgelaufen,0.35,0,3044,300.5,29,3,20250426-001931
98,kein_Terminated,Zeit abgelaufen,0.36,1,3044,300.5,29,3,20250426-001959
99,kein_Terminated,Zeit abgelaufen,0.29,0,2960,300.5,29,8,20250426-002027
100,kein_Terminated,Zeit abgelaufen,0.21,0,2312,300.5,29,8,20250426-002056
101,kein_Terminated,Zeit abgelaufen,0.28,0,2788,300.5,29,7,20250426-002124
102,kein_Terminated,Zeit abgelaufen,0.4,13,3124,300.5,29,3,20250426-002152
103,kein_Terminated,Zeit abgelaufen,0.32,0,3124,300.5,29,7,20250426-002220
104,kein_Terminated,Zeit abgelaufen,0.35,1,3448,300.5,29,3,20250426-002248
105,kein_Terminated,Zeit abgelaufen,0.31,1,3056,300.5,29,5,20250426-002316
106,kein_Terminated,Zeit abgelaufen,0.28,0,2952,300.5,29,9,20250426-002344
107,kein_Terminated,Zeit abgelaufen,0.34,16,1800,300.5,29,3,20250426-002413
108,kein_Terminated,Zeit abgelaufen,0.36,5,2944,300.5,29,3,20250426-002440
109,kein_Terminated,Zeit abgelaufen,0.35,0,3244,300.5,29,2,20250426-002508
110,kein_Terminated,Zeit abgelaufen,0.31,4,2196,300.5,29,1,20250426-002536
111,kein_Terminated,Zeit abgelaufen,0.31,0,2904,300.5,29,0,20250426-002604
112,kein_Terminated,Zeit abgelaufen,0.37,8,3084,300.5,29,1,20250426-002632
113,kein_Terminated,Zeit abgelaufen,0.32,0,3352,300.5,29,6,20250426-002700
