DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,1080000,99999,100,100,50,2,300,2,0.5,5,-10,0.1,0,8,3,FALSE,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,False,SET_20250410-011939
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,
38,kein_Terminated,Zeit abgelaufen,0.19,166,516,300.5,26,4,20250415-213032,,,,,,,,,,,,,,,,,,
39,kein_Terminated,Zeit abgelaufen,0.18,86,1220,300.5,26,7,20250415-213053,,,,,,,,,,,,,,,,,,
40,kein_Terminated,Zeit abgelaufen,0.18,66,1416,300.5,26,7,20250415-213114,,,,,,,,,,,,,,,,,,
41,kein_Terminated,Zeit abgelaufen,0.11,111,98,300.5,26,5,20250415-213135,,,,,,,,,,,,,,,,,,
42,kein_Terminated,Zeit abgelaufen,0.24,40,2604,300.5,15,8,20250415-213154,,,,,,,,,,,,,,,,,,
43,kein_Terminated,Zeit abgelaufen,0.18,6,2156,300.5,15,8,20250415-213212,,,,,,,,,,,,,,,,,,
44,kein_Terminated,Zeit abgelaufen,0.15,86,968,300.5,15,7,20250415-213230,,,,,,,,,,,,,,,,,,
45,kein_Terminated,Zeit abgelaufen,0.23,133,1570,300.5,15,7,20250415-213247,,,,,,,,,,,,,,,,,,
46,kein_Terminated,Zeit abgelaufen,0.08,197,-1118,300.5,15,0,20250415-213304,,,,,,,,,,,,,,,,,,
47,kein_Terminated,Zeit abgelaufen,0.07,99,-202,300.5,15,0,20250415-213322,,,,,,,,,,,,,,,,,,
48,kein_Terminated,Zeit abgelaufen,0.18,82,1424,300.5,15,6,20250415-213340,,,,,,,,,,,,,,,,,,
49,kein_Terminated,Zeit abgelaufen,0.18,2,2274,300.5,5,9,20250415-213357,,,,,,,,,,,,,,,,,,
50,kein_Terminated,Zeit abgelaufen,0.18,0,2288,300.5,5,9,20250415-213414,,,,,,,,,,,,,,,,,,
