DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,1080000,99999,100,100,50,2,300,2,0.5,5,-10,0.1,0,8,3,FALSE,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,False,SET_20250410-011939
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,
144,kein_Terminated,Zeit abgelaufen,0.31,131,2610,300.5,8,9,20250415-220307,,,,,,,,,,,,,,,,,,
145,kein_Terminated,Zeit abgelaufen,0.4,157,3542,300.5,8,9,20250415-220324,,,,,,,,,,,,,,,,,,
146,kein_Terminated,Zeit abgelaufen,0.44,196,3580,300.5,8,4,20250415-220341,,,,,,,,,,,,,,,,,,
147,kein_Terminated,Zeit abgelaufen,0.38,178,2940,300.5,15,8,20250415-220358,,,,,,,,,,,,,,,,,,
148,kein_Terminated,Zeit abgelaufen,0.27,274,532,300.5,15,8,20250415-220416,,,,,,,,,,,,,,,,,,
149,kein_Terminated,Zeit abgelaufen,0.42,150,3756,300.5,15,8,20250415-220434,,,,,,,,,,,,,,,,,,
150,kein_Terminated,Zeit abgelaufen,0.39,126,3616,300.5,15,8,20250415-220452,,,,,,,,,,,,,,,,,,
151,kein_Terminated,Zeit abgelaufen,0.25,227,806,300.5,15,6,20250415-220509,,,,,,,,,,,,,,,,,,
152,kein_Terminated,Zeit abgelaufen,0.48,233,3630,300.5,15,6,20250415-220527,,,,,,,,,,,,,,,,,,
153,kein_Terminated,Zeit abgelaufen,0.43,177,3642,300.5,15,6,20250415-220544,,,,,,,,,,,,,,,,,,
154,kein_Terminated,Zeit abgelaufen,0.49,102,5124,300.5,15,2,20250415-220602,,,,,,,,,,,,,,,,,,
155,kein_Terminated,Zeit abgelaufen,0.44,146,4064,300.5,15,2,20250415-220620,,,,,,,,,,,,,,,,,,
156,kein_Terminated,Zeit abgelaufen,0.36,68,3828,300.5,15,4,20250415-220638,,,,,,,,,,,,,,,,,,
157,kein_Terminated,Zeit abgelaufen,0.41,136,3712,300.5,15,4,20250415-220656,,,,,,,,,,,,,,,,,,
158,kein_Terminated,Zeit abgelaufen,0.43,183,3566,300.5,15,7,20250415-220713,,,,,,,,,,,,,,,,,,
159,kein_Terminated,Zeit abgelaufen,0.13,327,-1674,300.5,15,7,20250415-220730,,,,,,,,,,,,,,,,,,
160,kein_Terminated,Zeit abgelaufen,0.22,95,1794,300.5,15,8,20250415-220747,,,,,,,,,,,,,,,,,,
161,kein_Terminated,Zeit abgelaufen,0.56,149,5106,300.5,26,4,20250415-220808,,,,,,,,,,,,,,,,,,
162,kein_Terminated,Zeit abgelaufen,0.51,105,4930,300.5,26,4,20250415-220829,,,,,,,,,,,,,,,,,,
163,kein_Terminated,Zeit abgelaufen,0.33,212,1756,300.5,26,8,20250415-220850,,,,,,,,,,,,,,,,,,
164,kein_Terminated,Zeit abgelaufen,0.3,246,984,300.5,26,8,20250415-220911,,,,,,,,,,,,,,,,,,
165,kein_Terminated,Zeit abgelaufen,0.31,196,1580,300.5,26,8,20250415-220932,,,,,,,,,,,,,,,,,,
166,kein_Terminated,Zeit abgelaufen,0.37,178,2468,300.5,26,8,20250415-220953,,,,,,,,,,,,,,,,,,
2,kein_Terminated,Zeit abgelaufen,0.46,164,4284,300.5,0,5,20250415-221012,,,,,,,,,,,,,,,,,,
167,kein_Terminated,Zeit abgelaufen,0.49,125,4466,300.5,26,7,20250415-221027,,,,,,,,,,,,,,,,,,
168,kein_Terminated,Zeit abgelaufen,0.52,106,4992,300.5,26,6,20250415-221048,,,,,,,,,,,,,,,,,,
169,kein_Terminated,Zeit abgelaufen,0.57,96,5676,300.5,26,6,20250415-221109,,,,,,,,,,,,,,,,,,
170,kein_Terminated,Zeit abgelaufen,0.2,197,274,300.5,26,8,20250415-221130,,,,,,,,,,,,,,,,,,
171,kein_Terminated,Zeit abgelaufen,0.47,101,4510,300.5,26,8,20250415-221151,,,,,,,,,,,,,,,,,,
172,kein_Terminated,Zeit abgelaufen,0.43,58,4384,300.5,26,3,20250415-221211,,,,,,,,,,,,,,,,,,
173,kein_Terminated,Zeit abgelaufen,0.37,66,3596,300.5,26,3,20250415-221232,,,,,,,,,,,,,,,,,,
174,kein_Terminated,Zeit abgelaufen,0.39,125,3282,300.5,26,9,20250415-221253,,,,,,,,,,,,,,,,,,
175,kein_Terminated,Zeit abgelaufen,0.63,108,7120,300.5,5,1,20250415-221310,,,,,,,,,,,,,,,,,,
176,kein_Terminated,Zeit abgelaufen,0.63,133,6866,300.5,5,1,20250415-221326,,,,,,,,,,,,,,,,,,
177,kein_Terminated,Zeit abgelaufen,0.46,130,4640,300.5,5,2,20250415-221343,,,,,,,,,,,,,,,,,,
178,kein_Terminated,Zeit abgelaufen,0.51,141,5110,300.5,5,2,20250415-221400,,,,,,,,,,,,,,,,,,
179,kein_Terminated,Zeit abgelaufen,0.6,148,6220,300.5,5,0,20250415-221416,,,,,,,,,,,,,,,,,,
180,kein_Terminated,Zeit abgelaufen,0.65,131,7174,300.5,5,0,20250415-221433,,,,,,,,,,,,,,,,,,
181,kein_Terminated,Zeit abgelaufen,0.59,128,6316,300.5,5,7,20250415-221449,,,,,,,,,,,,,,,,,,
182,kein_Terminated,Zeit abgelaufen,0.59,79,6782,300.5,5,9,20250415-221506,,,,,,,,,,,,,,,,,,
183,kein_Terminated,Zeit abgelaufen,0.61,77,7142,300.5,5,9,20250415-221522,,,,,,,,,,,,,,,,,,
184,kein_Terminated,Zeit abgelaufen,0.39,171,3350,300.5,5,3,20250415-221539,,,,,,,,,,,,,,,,,,
185,kein_Terminated,Zeit abgelaufen,0.43,114,4348,300.5,5,3,20250415-221556,,,,,,,,,,,,,,,,,,
186,kein_Terminated,Zeit abgelaufen,0.57,55,6778,300.5,5,6,20250415-221612,,,,,,,,,,,,,,,,,,
187,kein_Terminated,Zeit abgelaufen,0.56,121,6050,300.5,5,6,20250415-221629,,,,,,,,,,,,,,,,,,
188,kein_Terminated,Zeit abgelaufen,0.63,61,7502,300.5,5,9,20250415-221645,,,,,,,,,,,,,,,,,,
189,kein_Terminated,Zeit abgelaufen,0.37,45,3818,300.5,26,6,20250415-221706,,,,,,,,,,,,,,,,,,
190,kein_Terminated,Zeit abgelaufen,0.47,101,4490,300.5,26,6,20250415-221727,,,,,,,,,,,,,,,,,,
191,kein_Terminated,Zeit abgelaufen,0.61,89,6222,300.5,26,8,20250415-221748,,,,,,,,,,,,,,,,,,
192,kein_Terminated,Zeit abgelaufen,0.31,45,3166,300.5,26,8,20250415-221809,,,,,,,,,,,,,,,,,,
193,kein_Terminated,Zeit abgelaufen,0.44,90,4208,300.5,26,0,20250415-221830,,,,,,,,,,,,,,,,,,
194,kein_Terminated,Zeit abgelaufen,0.49,133,4398,300.5,26,0,20250415-221851,,,,,,,,,,,,,,,,,,
195,kein_Terminated,Zeit abgelaufen,0.56,130,5304,300.5,26,1,20250415-221912,,,,,,,,,,,,,,,,,,
196,kein_Terminated,Zeit abgelaufen,0.46,70,5036,300.5,15,3,20250415-221929,,,,,,,,,,,,,,,,,,
197,kein_Terminated,Zeit abgelaufen,0.47,123,4646,300.5,15,3,20250415-221946,,,,,,,,,,,,,,,,,,
198,kein_Terminated,Zeit abgelaufen,0.44,89,4618,300.5,15,5,20250415-222004,,,,,,,,,,,,,,,,,,
199,kein_Terminated,Zeit abgelaufen,0.32,190,2084,300.5,15,5,20250415-222022,,,,,,,,,,,,,,,,,,
200,kein_Terminated,Zeit abgelaufen,0.5,86,5332,300.5,15,3,20250415-222039,,,,,,,,,,,,,,,,,,
201,kein_Terminated,Zeit abgelaufen,0.58,98,6336,300.5,15,3,20250415-222057,,,,,,,,,,,,,,,,,,
202,kein_Terminated,Zeit abgelaufen,0.52,80,5696,300.5,15,4,20250415-222114,,,,,,,,,,,,,,,,,,
203,kein_Terminated,Zeit abgelaufen,0.48,121,4946,300.5,5,7,20250415-222131,,,,,,,,,,,,,,,,,,
204,kein_Terminated,Zeit abgelaufen,0.53,65,6146,300.5,5,7,20250415-222147,,,,,,,,,,,,,,,,,,
205,kein_Terminated,Zeit abgelaufen,0.58,53,7034,300.5,5,3,20250415-222204,,,,,,,,,,,,,,,,,,
206,kein_Terminated,Zeit abgelaufen,0.61,68,7188,300.5,5,3,20250415-222221,,,,,,,,,,,,,,,,,,
207,kein_Terminated,Zeit abgelaufen,0.65,24,8168,300.5,5,4,20250415-222237,,,,,,,,,,,,,,,,,,
208,kein_Terminated,Zeit abgelaufen,0.62,13,7958,300.5,5,4,20250415-222254,,,,,,,,,,,,,,,,,,
209,kein_Terminated,Zeit abgelaufen,0.55,64,6516,300.5,5,6,20250415-222310,,,,,,,,,,,,,,,,,,
210,kein_Terminated,Zeit abgelaufen,0.49,68,5600,300.5,0,0,20250415-222327,,,,,,,,,,,,,,,,,,
211,kein_Terminated,Zeit abgelaufen,0.41,108,4200,300.5,0,0,20250415-222344,,,,,,,,,,,,,,,,,,
212,kein_Terminated,Zeit abgelaufen,0.53,41,6318,300.5,0,1,20250415-222400,,,,,,,,,,,,,,,,,,
213,kein_Terminated,Zeit abgelaufen,0.48,82,5368,300.5,0,1,20250415-222416,,,,,,,,,,,,,,,,,,
214,kein_Terminated,Zeit abgelaufen,0.56,65,6522,300.5,0,1,20250415-222433,,,,,,,,,,,,,,,,,,
215,kein_Terminated,Zeit abgelaufen,0.47,48,5480,300.5,0,1,20250415-222450,,,,,,,,,,,,,,,,,,
216,kein_Terminated,Zeit abgelaufen,0.48,62,5544,300.5,0,2,20250415-222506,,,,,,,,,,,,,,,,,,
217,kein_Terminated,Zeit abgelaufen,0.49,85,5274,300.5,15,6,20250415-222524,,,,,,,,,,,,,,,,,,
218,kein_Terminated,Zeit abgelaufen,0.51,89,5486,300.5,15,6,20250415-222541,,,,,,,,,,,,,,,,,,
219,kein_Terminated,Zeit abgelaufen,0.2,144,1048,300.5,15,0,20250415-222558,,,,,,,,,,,,,,,,,,
220,kein_Terminated,Zeit abgelaufen,0.38,74,3924,300.5,15,0,20250415-222616,,,,,,,,,,,,,,,,,,
221,kein_Terminated,Zeit abgelaufen,0.5,52,5668,300.5,15,4,20250415-222633,,,,,,,,,,,,,,,,,,
222,kein_Terminated,Zeit abgelaufen,0.52,78,5760,300.5,15,4,20250415-222650,,,,,,,,,,,,,,,,,,
223,kein_Terminated,Zeit abgelaufen,0.41,48,4564,300.5,15,5,20250415-222708,,,,,,,,,,,,,,,,,,
224,kein_Terminated,Zeit abgelaufen,0.55,66,6328,300.5,8,7,20250415-222725,,,,,,,,,,,,,,,,,,
225,kein_Terminated,Zeit abgelaufen,0.57,78,6472,300.5,8,7,20250415-222742,,,,,,,,,,,,,,,,,,
226,kein_Terminated,Zeit abgelaufen,0.38,37,4466,300.5,8,5,20250415-222759,,,,,,,,,,,,,,,,,,
227,kein_Terminated,Zeit abgelaufen,0.53,111,5610,300.5,8,5,20250415-222816,,,,,,,,,,,,,,,,,,
228,kein_Terminated,Zeit abgelaufen,0.51,59,5954,300.5,8,1,20250415-222834,,,,,,,,,,,,,,,,,,
229,kein_Terminated,Zeit abgelaufen,0.47,29,5698,300.5,8,1,20250415-222851,,,,,,,,,,,,,,,,,,
230,kein_Terminated,Zeit abgelaufen,0.51,90,5580,300.5,8,0,20250415-222908,,,,,,,,,,,,,,,,,,
231,kein_Terminated,Zeit abgelaufen,0.51,57,5986,300.5,5,8,20250415-222924,,,,,,,,,,,,,,,,,,
232,kein_Terminated,Zeit abgelaufen,0.5,7,6358,300.5,5,8,20250415-222941,,,,,,,,,,,,,,,,,,
233,kein_Terminated,Zeit abgelaufen,0.63,55,7646,300.5,5,1,20250415-222958,,,,,,,,,,,,,,,,,,
234,kein_Terminated,Zeit abgelaufen,0.46,37,5558,300.5,5,1,20250415-223014,,,,,,,,,,,,,,,,,,
235,kein_Terminated,Zeit abgelaufen,0.5,15,6314,300.5,5,1,20250415-223031,,,,,,,,,,,,,,,,,,
236,kein_Terminated,Zeit abgelaufen,0.61,34,7608,300.5,5,1,20250415-223048,,,,,,,,,,,,,,,,,,
237,kein_Terminated,Zeit abgelaufen,0.51,52,6016,300.5,5,7,20250415-223104,,,,,,,,,,,,,,,,,,
238,kein_Terminated,Zeit abgelaufen,0.52,64,6000,300.5,8,7,20250415-223121,,,,,,,,,,,,,,,,,,
239,kein_Terminated,Zeit abgelaufen,0.6,46,7192,300.5,8,7,20250415-223139,,,,,,,,,,,,,,,,,,
240,kein_Terminated,Zeit abgelaufen,0.45,62,5144,300.5,8,1,20250415-223156,,,,,,,,,,,,,,,,,,
241,kein_Terminated,Zeit abgelaufen,0.45,119,4550,300.5,8,1,20250415-223213,,,,,,,,,,,,,,,,,,
242,kein_Terminated,Zeit abgelaufen,0.46,41,5482,300.5,8,6,20250415-223230,,,,,,,,,,,,,,,,,,
243,kein_Terminated,Zeit abgelaufen,0.4,52,4568,300.5,8,6,20250415-223247,,,,,,,,,,,,,,,,,,
244,kein_Terminated,Zeit abgelaufen,0.46,52,5356,300.5,8,4,20250415-223304,,,,,,,,,,,,,,,,,,
245,kein_Terminated,Zeit abgelaufen,0.51,85,5702,300.5,0,3,20250415-223321,,,,,,,,,,,,,,,,,,
246,kein_Terminated,Zeit abgelaufen,0.42,75,4598,300.5,0,3,20250415-223337,,,,,,,,,,,,,,,,,,
247,kein_Terminated,Zeit abgelaufen,0.49,15,6174,300.5,0,9,20250415-223354,,,,,,,,,,,,,,,,,,
248,kein_Terminated,Zeit abgelaufen,0.54,26,6624,300.5,0,9,20250415-223411,,,,,,,,,,,,,,,,,,
249,kein_Terminated,Zeit abgelaufen,0.44,24,5364,300.5,0,4,20250415-223427,,,,,,,,,,,,,,,,,,
3,kein_Terminated,Zeit abgelaufen,0.51,18,6332,300.5,0,2,20250415-223445,,,,,,,,,,,,,,,,,,
250,kein_Terminated,Zeit abgelaufen,0.44,22,5348,300.5,0,4,20250415-223457,,,,,,,,,,,,,,,,,,
251,kein_Terminated,Zeit abgelaufen,0.55,61,6438,300.5,0,3,20250415-223514,,,,,,,,,,,,,,,,,,
252,kein_Terminated,Zeit abgelaufen,0.56,25,6974,300.5,0,1,20250415-223531,,,,,,,,,,,,,,,,,,
253,kein_Terminated,Zeit abgelaufen,0.53,21,6622,300.5,0,1,20250415-223547,,,,,,,,,,,,,,,,,,
254,kein_Terminated,Zeit abgelaufen,0.51,16,6300,300.5,0,8,20250415-223604,,,,,,,,,,,,,,,,,,
255,kein_Terminated,Zeit abgelaufen,0.57,13,7230,300.5,0,8,20250415-223621,,,,,,,,,,,,,,,,,,
256,kein_Terminated,Zeit abgelaufen,0.52,39,6262,300.5,0,7,20250415-223637,,,,,,,,,,,,,,,,,,
257,kein_Terminated,Zeit abgelaufen,0.54,30,6572,300.5,0,7,20250415-223654,,,,,,,,,,,,,,,,,,
258,kein_Terminated,Zeit abgelaufen,0.62,47,7546,300.5,0,4,20250415-223711,,,,,,,,,,,,,,,,,,
259,kein_Terminated,Zeit abgelaufen,0.53,27,6518,300.5,0,7,20250415-223728,,,,,,,,,,,,,,,,,,
260,kein_Terminated,Zeit abgelaufen,0.46,24,5592,300.5,0,7,20250415-223744,,,,,,,,,,,,,,,,,,
261,kein_Terminated,Zeit abgelaufen,0.57,20,7144,300.5,0,8,20250415-223801,,,,,,,,,,,,,,,,,,
262,kein_Terminated,Zeit abgelaufen,0.57,21,7102,300.5,0,8,20250415-223818,,,,,,,,,,,,,,,,,,
263,kein_Terminated,Zeit abgelaufen,0.59,11,7402,300.5,0,1,20250415-223834,,,,,,,,,,,,,,,,,,
264,kein_Terminated,Zeit abgelaufen,0.58,22,7220,300.5,0,1,20250415-223851,,,,,,,,,,,,,,,,,,
265,kein_Terminated,Zeit abgelaufen,0.53,75,6098,300.5,0,3,20250415-223908,,,,,,,,,,,,,,,,,,
266,kein_Terminated,Zeit abgelaufen,0.47,47,5526,300.5,0,6,20250415-223924,,,,,,,,,,,,,,,,,,
267,kein_Terminated,Zeit abgelaufen,0.53,52,6216,300.5,0,6,20250415-223941,,,,,,,,,,,,,,,,,,
268,kein_Terminated,Zeit abgelaufen,0.6,42,7240,300.5,0,0,20250415-223957,,,,,,,,,,,,,,,,,,
269,kein_Terminated,Zeit abgelaufen,0.57,54,6820,300.5,0,0,20250415-224014,,,,,,,,,,,,,,,,,,
270,kein_Terminated,Zeit abgelaufen,0.55,54,6520,300.5,0,6,20250415-224030,,,,,,,,,,,,,,,,,,
271,kein_Terminated,Zeit abgelaufen,0.56,78,6384,300.5,0,6,20250415-224047,,,,,,,,,,,,,,,,,,
272,kein_Terminated,Zeit abgelaufen,0.57,37,6954,300.5,0,7,20250415-224104,,,,,,,,,,,,,,,,,,
273,kein_Terminated,Zeit abgelaufen,0.56,14,7092,300.5,5,5,20250415-224120,,,,,,,,,,,,,,,,,,
274,kein_Terminated,Zeit abgelaufen,0.57,26,7180,300.5,5,5,20250415-224137,,,,,,,,,,,,,,,,,,
275,kein_Terminated,Zeit abgelaufen,0.57,6,7292,300.5,5,3,20250415-224154,,,,,,,,,,,,,,,,,,
276,kein_Terminated,Zeit abgelaufen,0.56,23,6978,300.5,5,3,20250415-224210,,,,,,,,,,,,,,,,,,
277,kein_Terminated,Zeit abgelaufen,0.67,21,8418,300.5,5,7,20250415-224227,,,,,,,,,,,,,,,,,,
278,kein_Terminated,Zeit abgelaufen,0.67,52,8120,300.5,5,7,20250415-224244,,,,,,,,,,,,,,,,,,
279,kein_Terminated,Zeit abgelaufen,0.64,16,8072,300.5,5,8,20250415-224300,,,,,,,,,,,,,,,,,,
280,kein_Terminated,Zeit abgelaufen,0.63,69,6682,300.5,26,8,20250415-224321,,,,,,,,,,,,,,,,,,
281,kein_Terminated,Zeit abgelaufen,0.45,95,4246,300.5,26,8,20250415-224342,,,,,,,,,,,,,,,,,,
282,kein_Terminated,Zeit abgelaufen,0.53,36,5800,300.5,26,2,20250415-224403,,,,,,,,,,,,,,,,,,
283,kein_Terminated,Zeit abgelaufen,0.63,68,6736,300.5,26,2,20250415-224424,,,,,,,,,,,,,,,,,,
284,kein_Terminated,Zeit abgelaufen,0.7,72,7516,300.5,26,7,20250415-224445,,,,,,,,,,,,,,,,,,
285,kein_Terminated,Zeit abgelaufen,0.56,59,6010,300.5,26,7,20250415-224506,,,,,,,,,,,,,,,,,,
286,kein_Terminated,Zeit abgelaufen,0.6,29,6706,300.5,26,4,20250415-224527,,,,,,,,,,,,,,,,,,
287,kein_Terminated,Zeit abgelaufen,0.67,65,7262,300.5,26,8,20250415-224548,,,,,,,,,,,,,,,,,,
288,kein_Terminated,Zeit abgelaufen,0.67,70,7132,300.5,26,8,20250415-224609,,,,,,,,,,,,,,,,,,
289,kein_Terminated,Zeit abgelaufen,0.59,56,6308,300.5,26,5,20250415-224630,,,,,,,,,,,,,,,,,,
290,kein_Terminated,Zeit abgelaufen,0.52,58,5492,300.5,26,5,20250415-224651,,,,,,,,,,,,,,,,,,
291,kein_Terminated,Zeit abgelaufen,0.57,57,6166,300.5,26,6,20250415-224713,,,,,,,,,,,,,,,,,,
292,kein_Terminated,Zeit abgelaufen,0.55,54,5904,300.5,26,6,20250415-224734,,,,,,,,,,,,,,,,,,
293,kein_Terminated,Zeit abgelaufen,0.59,27,6622,300.5,26,3,20250415-224755,,,,,,,,,,,,,,,,,,
294,kein_Terminated,Zeit abgelaufen,0.6,74,6888,300.5,8,1,20250415-224811,,,,,,,,,,,,,,,,,,
295,kein_Terminated,Zeit abgelaufen,0.45,113,4626,300.5,8,1,20250415-224828,,,,,,,,,,,,,,,,,,
296,kein_Terminated,Zeit abgelaufen,0.63,91,7074,300.5,8,4,20250415-224846,,,,,,,,,,,,,,,,,,
297,kein_Terminated,Zeit abgelaufen,0.59,46,7044,300.5,8,4,20250415-224903,,,,,,,,,,,,,,,,,,
298,kein_Terminated,Zeit abgelaufen,0.52,75,5906,300.5,8,7,20250415-224920,,,,,,,,,,,,,,,,,,
299,kein_Terminated,Zeit abgelaufen,0.67,79,7826,300.5,8,7,20250415-224937,,,,,,,,,,,,,,,,,,
300,kein_Terminated,Zeit abgelaufen,0.61,72,7028,300.5,8,0,20250415-224954,,,,,,,,,,,,,,,,,,
301,kein_Terminated,Zeit abgelaufen,0.52,38,5740,300.5,26,9,20250415-225015,,,,,,,,,,,,,,,,,,
302,kein_Terminated,Zeit abgelaufen,0.66,54,7156,300.5,26,9,20250415-225036,,,,,,,,,,,,,,,,,,
303,kein_Terminated,Zeit abgelaufen,0.57,61,6102,300.5,26,2,20250415-225057,,,,,,,,,,,,,,,,,,
304,kein_Terminated,Zeit abgelaufen,0.55,72,5740,300.5,26,2,20250415-225117,,,,,,,,,,,,,,,,,,
305,kein_Terminated,Zeit abgelaufen,0.58,58,6256,300.5,26,1,20250415-225138,,,,,,,,,,,,,,,,,,
306,kein_Terminated,Zeit abgelaufen,0.66,57,7226,300.5,26,1,20250415-225159,,,,,,,,,,,,,,,,,,
307,kein_Terminated,Zeit abgelaufen,0.63,50,6832,300.5,26,9,20250415-225221,,,,,,,,,,,,,,,,,,
308,kein_Terminated,Zeit abgelaufen,0.61,36,7436,300.5,0,2,20250415-225237,,,,,,,,,,,,,,,,,,
309,kein_Terminated,Zeit abgelaufen,0.59,36,7168,300.5,0,2,20250415-225254,,,,,,,,,,,,,,,,,,
310,kein_Terminated,Zeit abgelaufen,0.64,32,7868,300.5,0,4,20250415-225311,,,,,,,,,,,,,,,,,,
311,kein_Terminated,Zeit abgelaufen,0.62,59,7434,300.5,0,4,20250415-225328,,,,,,,,,,,,,,,,,,
312,kein_Terminated,Zeit abgelaufen,0.59,52,7052,300.5,0,0,20250415-225345,,,,,,,,,,,,,,,,,,
313,kein_Terminated,Zeit abgelaufen,0.6,78,6936,300.5,0,0,20250415-225402,,,,,,,,,,,,,,,,,,
314,kein_Terminated,Zeit abgelaufen,0.54,104,5944,300.5,0,9,20250415-225419,,,,,,,,,,,,,,,,,,
315,kein_Terminated,Zeit abgelaufen,0.4,196,3076,300.5,15,1,20250415-225436,,,,,,,,,,,,,,,,,,
316,kein_Terminated,Zeit abgelaufen,0.45,145,4162,300.5,15,1,20250415-225453,,,,,,,,,,,,,,,,,,
317,kein_Terminated,Zeit abgelaufen,0.52,165,4882,300.5,15,8,20250415-225511,,,,,,,,,,,,,,,,,,
318,kein_Terminated,Zeit abgelaufen,0.48,171,4282,300.5,15,8,20250415-225529,,,,,,,,,,,,,,,,,,
319,kein_Terminated,Zeit abgelaufen,0.42,123,4030,300.5,15,1,20250415-225547,,,,,,,,,,,,,,,,,,
320,kein_Terminated,Zeit abgelaufen,0.51,143,4990,300.5,15,1,20250415-225604,,,,,,,,,,,,,,,,,,
321,kein_Terminated,Zeit abgelaufen,0.43,80,4612,300.5,15,1,20250415-225622,,,,,,,,,,,,,,,,,,
322,kein_Terminated,Zeit abgelaufen,0.57,57,6630,300.5,8,2,20250415-225639,,,,,,,,,,,,,,,,,,
323,kein_Terminated,Zeit abgelaufen,0.59,37,7134,300.5,8,2,20250415-225656,,,,,,,,,,,,,,,,,,
324,kein_Terminated,Zeit abgelaufen,0.62,69,7258,300.5,8,6,20250415-225713,,,,,,,,,,,,,,,,,,
325,kein_Terminated,Zeit abgelaufen,0.59,44,7056,300.5,8,6,20250415-225730,,,,,,,,,,,,,,,,,,
326,kein_Terminated,Zeit abgelaufen,0.41,63,4622,300.5,8,0,20250415-225747,,,,,,,,,,,,,,,,,,
327,kein_Terminated,Zeit abgelaufen,0.41,58,4648,300.5,8,0,20250415-225803,,,,,,,,,,,,,,,,,,
328,kein_Terminated,Zeit abgelaufen,0.66,45,8026,300.5,8,7,20250415-225821,,,,,,,,,,,,,,,,,,
329,kein_Terminated,Zeit abgelaufen,0.56,76,6252,300.5,15,1,20250415-225839,,,,,,,,,,,,,,,,,,
330,kein_Terminated,Zeit abgelaufen,0.26,55,2662,300.5,15,1,20250415-225856,,,,,,,,,,,,,,,,,,
331,kein_Terminated,Zeit abgelaufen,0.57,163,5470,300.5,15,7,20250415-225914,,,,,,,,,,,,,,,,,,
332,kein_Terminated,Zeit abgelaufen,0.42,165,3614,300.5,15,7,20250415-225931,,,,,,,,,,,,,,,,,,
4,kein_Terminated,Zeit abgelaufen,0.29,21,3430,300.5,8,8,20250415-225952,,,,,,,,,,,,,,,,,,
333,kein_Terminated,Zeit abgelaufen,0.46,64,5160,300.5,15,6,20250415-230004,,,,,,,,,,,,,,,,,,
334,kein_Terminated,Zeit abgelaufen,0.36,67,3822,300.5,15,6,20250415-230022,,,,,,,,,,,,,,,,,,
335,kein_Terminated,Zeit abgelaufen,0.42,97,4246,300.5,15,2,20250415-230039,,,,,,,,,,,,,,,,,,
336,kein_Terminated,Zeit abgelaufen,0.65,52,7152,300.5,26,6,20250415-230100,,,,,,,,,,,,,,,,,,
337,kein_Terminated,Zeit abgelaufen,0.74,60,8068,300.5,26,6,20250415-230121,,,,,,,,,,,,,,,,,,
338,kein_Terminated,Zeit abgelaufen,0.53,62,5608,300.5,26,6,20250415-230142,,,,,,,,,,,,,,,,,,
339,kein_Terminated,Zeit abgelaufen,0.56,49,6110,300.5,26,6,20250415-230203,,,,,,,,,,,,,,,,,,
340,kein_Terminated,Zeit abgelaufen,0.65,40,7192,300.5,26,9,20250415-230224,,,,,,,,,,,,,,,,,,
341,kein_Terminated,Zeit abgelaufen,0.51,34,5620,300.5,26,9,20250415-230245,,,,,,,,,,,,,,,,,,
342,kein_Terminated,Zeit abgelaufen,0.65,62,7044,300.5,26,5,20250415-230306,,,,,,,,,,,,,,,,,,
343,kein_Terminated,Zeit abgelaufen,0.59,51,7046,300.5,0,1,20250415-230322,,,,,,,,,,,,,,,,,,
344,kein_Terminated,Zeit abgelaufen,0.66,29,8218,300.5,0,1,20250415-230339,,,,,,,,,,,,,,,,,,
345,kein_Terminated,Zeit abgelaufen,0.61,36,7476,300.5,0,5,20250415-230356,,,,,,,,,,,,,,,,,,
346,kein_Terminated,Zeit abgelaufen,0.68,57,8198,300.5,0,5,20250415-230413,,,,,,,,,,,,,,,,,,
347,kein_Terminated,Zeit abgelaufen,0.66,54,7916,300.5,0,4,20250415-230429,,,,,,,,,,,,,,,,,,
348,kein_Terminated,Zeit abgelaufen,0.62,61,7382,300.5,0,4,20250415-230446,,,,,,,,,,,,,,,,,,
349,kein_Terminated,Zeit abgelaufen,0.55,80,6260,300.5,0,6,20250415-230502,,,,,,,,,,,,,,,,,,
