DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad,DEFAULT_UseOrderedMazeAndStartingPositionInsteadOfRandom,DEFAULT_NumberOfRunsOnEachStartingPosition
5,300,2,0,50000.0,1,2700000,99999,100,100,50,2,0.5,5,-1.0,0.35,0,8,3,True,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O10_A3_TR1_T1_20250426-232945_SAC_O10/_100000_steps.zip,"(27, 28, 29, 30, 31)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,False,SET_20250425-231500,False,3

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
48,kein_Terminated,Zeit abgelaufen,0.62,84,3362.0,300.2,30,2,20250427-005052
49,kein_Terminated,Zeit abgelaufen,0.49,49,2560.0,300.2,30,2,20250427-005112
50,kein_Terminated,Zeit abgelaufen,0.65,38,3469.0,300.2,30,1,20250427-005132
51,kein_Terminated,Zeit abgelaufen,0.46,107,2357.0,300.2,30,1,20250427-005152
52,kein_Terminated,Zeit abgelaufen,0.74,93,3913.0,300.2,30,3,20250427-005212
53,kein_Terminated,Zeit abgelaufen,0.68,93,3747.0,300.2,30,3,20250427-005231
54,kein_Terminated,Zeit abgelaufen,0.64,41,3005.0,300.2,28,6,20250427-005254
55,kein_Terminated,Zeit abgelaufen,0.66,99,3172.0,300.2,28,6,20250427-005318
56,kein_Terminated,Zeit abgelaufen,0.65,86,2977.0,300.2,28,7,20250427-005341
57,kein_Terminated,Zeit abgelaufen,0.62,90,3076.0,300.2,28,7,20250427-005405
58,kein_Terminated,Zeit abgelaufen,0.56,161,2516.0,300.2,28,9,20250427-005428
59,kein_Terminated,Zeit abgelaufen,0.67,119,3305.0,300.2,28,9,20250427-005452
60,kein_Terminated,Zeit abgelaufen,0.65,97,3458.0,300.2,30,5,20250427-005511
61,kein_Terminated,Zeit abgelaufen,0.55,0,3054.0,300.2,30,5,20250427-005531
62,kein_Terminated,Zeit abgelaufen,0.6,58,3242.0,300.2,30,4,20250427-005550
63,kein_Terminated,Zeit abgelaufen,0.62,28,3497.0,300.2,30,4,20250427-005610
64,kein_Terminated,Zeit abgelaufen,0.63,103,3334.0,300.2,30,9,20250427-005629
65,kein_Terminated,Zeit abgelaufen,0.53,103,2670.0,300.2,30,9,20250427-005649
66,kein_Terminated,Zeit abgelaufen,0.64,109,3139.0,300.2,28,8,20250427-005713
2,kein_Terminated,Zeit abgelaufen,0.59,110,3053.0,300.2,27,9,20250427-005741
67,kein_Terminated,Zeit abgelaufen,0.61,177,2791.0,300.2,28,8,20250427-005750
68,kein_Terminated,Zeit abgelaufen,0.69,231,3356.0,300.2,28,0,20250427-005813
69,kein_Terminated,Zeit abgelaufen,0.7,298,3314.0,300.2,28,0,20250427-005836
70,kein_Terminated,Zeit abgelaufen,0.57,172,2654.0,300.2,28,8,20250427-005900
71,kein_Terminated,Zeit abgelaufen,0.59,196,2783.0,300.2,28,8,20250427-005923
72,kein_Terminated,Zeit abgelaufen,0.7,266,3263.0,300.2,29,0,20250427-005947
73,kein_Terminated,Zeit abgelaufen,0.61,219,2781.0,300.2,29,0,20250427-010012
74,kein_Terminated,Zeit abgelaufen,0.71,230,3294.0,300.2,29,3,20250427-010036
75,kein_Terminated,Zeit abgelaufen,0.6,203,2599.0,300.2,29,3,20250427-010100
76,kein_Terminated,Zeit abgelaufen,0.61,108,2956.0,300.2,29,8,20250427-010124
77,kein_Terminated,Zeit abgelaufen,0.57,208,2526.0,300.2,29,8,20250427-010147
78,kein_Terminated,Zeit abgelaufen,0.58,130,2698.0,300.2,29,3,20250427-010211
79,kein_Terminated,Zeit abgelaufen,0.65,108,3182.0,300.2,29,3,20250427-010235
80,kein_Terminated,Zeit abgelaufen,0.66,57,3114.0,300.2,29,1,20250427-010300
81,kein_Terminated,Zeit abgelaufen,0.59,141,2790.0,300.2,29,1,20250427-010324
82,kein_Terminated,Zeit abgelaufen,0.67,164,3089.0,300.2,29,6,20250427-010348
83,kein_Terminated,Zeit abgelaufen,0.66,180,3105.0,300.2,29,6,20250427-010413
84,kein_Terminated,Zeit abgelaufen,0.5,101,2557.0,300.2,30,2,20250427-010433
85,kein_Terminated,Zeit abgelaufen,0.52,53,2883.0,300.2,30,2,20250427-010453
86,kein_Terminated,Zeit abgelaufen,0.54,101,2791.0,300.2,30,3,20250427-010513
87,kein_Terminated,Zeit abgelaufen,0.65,50,3438.0,300.2,30,3,20250427-010532
88,kein_Terminated,Zeit abgelaufen,0.66,128,3614.0,300.2,30,6,20250427-010553
89,kein_Terminated,Zeit abgelaufen,0.68,31,3753.0,300.2,30,6,20250427-010613
90,kein_Terminated,Zeit abgelaufen,0.6,119,2867.0,300.2,29,3,20250427-010637
91,kein_Terminated,Zeit abgelaufen,0.53,214,2229.0,300.2,29,3,20250427-010701
92,kein_Terminated,Zeit abgelaufen,0.61,120,2812.0,300.2,29,2,20250427-010726
93,kein_Terminated,Zeit abgelaufen,0.69,227,3223.0,300.2,29,2,20250427-010750
94,kein_Terminated,Zeit abgelaufen,0.64,188,3027.0,300.2,29,6,20250427-010815
95,kein_Terminated,Zeit abgelaufen,0.61,158,2831.0,300.2,29,6,20250427-010839
96,kein_Terminated,Zeit abgelaufen,0.57,17,2920.0,300.2,31,9,20250427-010900
97,kein_Terminated,Zeit abgelaufen,0.57,147,2731.0,300.2,31,9,20250427-010920
98,kein_Terminated,Zeit abgelaufen,0.61,66,3058.0,300.2,31,4,20250427-010940
99,kein_Terminated,Zeit abgelaufen,0.57,15,2853.0,300.2,31,4,20250427-011000
3,kein_Terminated,Zeit abgelaufen,0.68,138,3462.0,300.2,27,6,20250427-011032
100,kein_Terminated,Zeit abgelaufen,0.58,23,3009.0,300.2,31,8,20250427-011034
101,kein_Terminated,Zeit abgelaufen,0.61,158,3139.0,300.2,31,8,20250427-011054
102,kein_Terminated,Zeit abgelaufen,0.78,283,3718.0,300.2,29,1,20250427-011118
103,kein_Terminated,Zeit abgelaufen,0.65,212,3006.0,300.2,29,1,20250427-011143
104,kein_Terminated,Zeit abgelaufen,0.67,224,3114.0,300.2,29,9,20250427-011207
105,kein_Terminated,Zeit abgelaufen,0.59,177,2702.0,300.2,29,9,20250427-011231
106,kein_Terminated,Zeit abgelaufen,0.6,97,2892.0,300.2,29,7,20250427-011255
107,kein_Terminated,Zeit abgelaufen,0.57,82,2749.0,300.2,29,7,20250427-011319
108,kein_Terminated,Zeit abgelaufen,0.7,89,3458.0,300.2,28,9,20250427-011343
109,kein_Terminated,Zeit abgelaufen,0.61,132,2769.0,300.2,28,9,20250427-011406
110,kein_Terminated,Zeit abgelaufen,0.55,76,2654.0,300.2,28,8,20250427-011430
111,kein_Terminated,Zeit abgelaufen,0.68,159,3185.0,300.2,28,8,20250427-011454
112,kein_Terminated,Zeit abgelaufen,0.02,26,-1416.0,300.2,28,1,20250427-011518
113,kein_Terminated,Zeit abgelaufen,0.03,1500,-1354.0,300.2,28,1,20250427-011542
114,kein_Terminated,Zeit abgelaufen,0.68,123,3629.0,300.2,31,2,20250427-011602
115,kein_Terminated,Zeit abgelaufen,0.73,115,3824.0,300.2,31,2,20250427-011623
116,kein_Terminated,Zeit abgelaufen,0.58,64,3084.0,300.2,31,7,20250427-011643
117,kein_Terminated,Zeit abgelaufen,0.56,38,2863.0,300.2,31,7,20250427-011703
118,kein_Terminated,Zeit abgelaufen,0.68,37,3669.0,300.2,31,4,20250427-011723
119,kein_Terminated,Zeit abgelaufen,0.7,49,3781.0,300.2,31,4,20250427-011743
120,kein_Terminated,Zeit abgelaufen,0.68,98,3654.0,300.2,31,8,20250427-011804
121,kein_Terminated,Zeit abgelaufen,0.72,104,3807.0,300.2,31,8,20250427-011824
122,kein_Terminated,Zeit abgelaufen,0.67,97,3513.0,300.2,31,2,20250427-011843
123,kein_Terminated,Zeit abgelaufen,0.73,88,4022.0,300.2,31,2,20250427-011903
124,kein_Terminated,Zeit abgelaufen,0.67,41,3495.0,300.2,31,3,20250427-011923
125,kein_Terminated,Zeit abgelaufen,0.73,165,3795.0,300.2,31,3,20250427-011944
126,kein_Terminated,Zeit abgelaufen,0.73,93,3895.0,300.2,31,9,20250427-012004
127,kein_Terminated,Zeit abgelaufen,0.76,109,4191.0,300.2,31,9,20250427-012024
128,kein_Terminated,Zeit abgelaufen,0.61,51,3340.0,300.2,31,2,20250427-012044
129,kein_Terminated,Zeit abgelaufen,0.68,136,3690.0,300.2,31,2,20250427-012103
130,kein_Terminated,Zeit abgelaufen,0.72,55,3961.0,300.2,31,8,20250427-012123
131,kein_Terminated,Zeit abgelaufen,0.68,37,3715.0,300.2,31,8,20250427-012143
132,kein_Terminated,Zeit abgelaufen,0.61,151,2890.0,300.2,29,2,20250427-012207
133,kein_Terminated,Zeit abgelaufen,0.68,176,3069.0,300.2,29,2,20250427-012231
4,kein_Terminated,Zeit abgelaufen,0.66,218,3468.0,300.2,31,4,20250427-012250
134,kein_Terminated,Zeit abgelaufen,0.73,185,3431.0,300.2,29,7,20250427-012307
135,kein_Terminated,Zeit abgelaufen,0.65,107,3101.0,300.2,29,7,20250427-012331
136,kein_Terminated,Zeit abgelaufen,0.68,204,3108.0,300.2,29,5,20250427-012355
137,kein_Terminated,Zeit abgelaufen,0.72,180,3309.0,300.2,29,5,20250427-012419
138,kein_Terminated,Zeit abgelaufen,0.66,115,3152.0,300.2,29,1,20250427-012443
139,kein_Terminated,Zeit abgelaufen,0.79,267,3723.0,300.2,29,1,20250427-012508
140,kein_Terminated,Zeit abgelaufen,0.73,231,3393.0,300.2,29,1,20250427-012532
141,kein_Terminated,Zeit abgelaufen,0.69,98,3399.0,300.2,29,1,20250427-012556
142,kein_Terminated,Zeit abgelaufen,0.71,62,3364.0,300.2,29,3,20250427-012620
143,80 Prozent der Fläche wurde erkundet,kein_Truncared,0.8,243,3752.0,271.6,29,3,20250427-012642
144,80 Prozent der Fläche wurde erkundet,kein_Truncared,0.8,0,-1.0,0.0,27,0,20250427-012645
145,kein_Terminated,Zeit abgelaufen,0.66,94,3198.0,300.2,27,0,20250427-012707
146,kein_Terminated,Zeit abgelaufen,0.68,152,3252.0,300.2,27,9,20250427-012728
147,kein_Terminated,Zeit abgelaufen,0.74,130,3679.0,300.2,27,9,20250427-012750
148,kein_Terminated,Zeit abgelaufen,0.74,61,3759.0,300.2,27,1,20250427-012812
149,kein_Terminated,Zeit abgelaufen,0.71,80,3550.0,300.2,27,1,20250427-012833
150,kein_Terminated,Zeit abgelaufen,0.65,162,3035.0,300.2,28,4,20250427-012857
151,kein_Terminated,Zeit abgelaufen,0.64,113,2946.0,300.2,28,4,20250427-012920
152,kein_Terminated,Zeit abgelaufen,0.02,26,-1416.0,300.2,28,1,20250427-012944
153,kein_Terminated,Zeit abgelaufen,0.0,1502,-1542.0,300.2,28,1,20250427-013012
154,kein_Terminated,Zeit abgelaufen,0.74,480,3378.0,300.2,28,3,20250427-013036
155,kein_Terminated,Zeit abgelaufen,0.78,95,3838.0,300.2,28,3,20250427-013059
156,kein_Terminated,Zeit abgelaufen,0.67,43,3500.0,300.2,30,1,20250427-013119
157,kein_Terminated,Zeit abgelaufen,0.62,100,3241.0,300.2,30,1,20250427-013138
158,kein_Terminated,Zeit abgelaufen,0.71,167,3762.0,300.2,30,0,20250427-013158
