57,kein_Terminated,Zeit abgelaufen,0.15,0,-4440.456738238204,0,20250403-233152
58,kein_Terminated,Zeit abgelaufen,0.25,0,-2902.1236010685093,0,20250403-233203
59,kein_Terminated,Zeit abgelaufen,0.1,0,-3502.818198161752,0,20250403-233214
60,kein_Terminated,Zeit abgelaufen,0.09,0,-3410.5315061923816,0,20250403-233224
61,kein_Terminated,Zeit abgelaufen,0.15,0,-2624.0548000759227,0,20250403-233234
1,kein_Terminated,Zeit abgelaufen,0.12,0,-3115.329363419103,0,20250403-233311
2,kein_Terminated,Zeit abgelaufen,0.17,0,-1823.4882589512868,0,20250403-233321
3,kein_Terminated,Zeit abgelaufen,0.19,0,-2603.837524714376,0,20250403-233331
4,kein_Terminated,Zeit abgelaufen,0.18,0,-1854.0475109757886,0,20250403-233342
5,kein_Terminated,Zeit abgelaufen,0.19,0,-3348.9253080736194,0,20250403-233352
6,kein_Terminated,Zeit abgelaufen,0.2,0,-3962.007993431073,0,20250403-233402
7,kein_Terminated,Zeit abgelaufen,0.16,0,-3091.637224102835,0,20250403-233413
8,kein_Terminated,Zeit abgelaufen,0.15,0,-2852.438109789891,0,20250403-233424
9,kein_Terminated,Zeit abgelaufen,0.2,0,-2563.747994448877,0,20250403-233435
10,kein_Terminated,Zeit abgelaufen,0.16,0,-3744.050745580684,0,20250403-233445
11,kein_Terminated,Zeit abgelaufen,0.11,0,-3409.053902164175,0,20250403-233456
12,kein_Terminated,Zeit abgelaufen,0.08,0,-3878.6854182892334,0,20250403-233506
13,kein_Terminated,Zeit abgelaufen,0.06,0,-4601.647701183776,0,20250403-233516
14,kein_Terminated,Zeit abgelaufen,0.12,0,-3072.837559329949,0,20250403-233527
15,kein_Terminated,Zeit abgelaufen,0.15,0,-2306.738408480712,0,20250403-233537
16,kein_Terminated,Zeit abgelaufen,0.28,0,-1623.460429329244,0,20250403-233547
17,kein_Terminated,Zeit abgelaufen,0.12,0,-3437.940412020666,0,20250403-233558
18,kein_Terminated,Zeit abgelaufen,0.22,0,-1587.3778872062774,0,20250403-233609
19,kein_Terminated,Zeit abgelaufen,0.19,0,-1680.519157697604,0,20250403-233619
