Feature,Total Weight
Feature 127,1.7220231
Feature 193,1.7144139
Feature 239,1.7070702
Feature 078,1.7017856
Feature 136,1.6879332
Feature 180,1.6872333
Feature 027,1.6863782
Feature 163,1.6649913
Feature 057,1.6233888
Feature 198,1.6164857
Feature 259,1.6149212
Feature 181,1.5626495
Feature 098,1.5593032
