DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,8,4,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O7_A2_TR1_T1_20250410-093525/save-04.10.2025_09.35.25/best_model.zip,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
49,kein_Terminated,Zeit abgelaufen,0.32,231,685.0,300.5,22,2,20250411-115105
50,kein_Terminated,Zeit abgelaufen,0.27,241,-5202.0,300.5,22,2,20250411-115116
51,kein_Terminated,Zeit abgelaufen,0.43,230,-470.5,300.5,22,8,20250411-115127
52,kein_Terminated,Zeit abgelaufen,0.37,204,684.5,300.5,22,8,20250411-115139
53,kein_Terminated,Zeit abgelaufen,0.26,237,-7.0,300.5,22,7,20250411-115150
54,kein_Terminated,Zeit abgelaufen,0.28,196,-980.0,300.5,22,7,20250411-115201
55,kein_Terminated,Zeit abgelaufen,0.36,204,1140.25,300.5,22,9,20250411-115213
56,kein_Terminated,Zeit abgelaufen,0.15,247,-1567.0,300.5,25,5,20250411-115226
57,kein_Terminated,Zeit abgelaufen,0.17,448,-932.0,300.5,25,5,20250411-115240
58,kein_Terminated,Zeit abgelaufen,0.1,354,-6225.0,300.5,25,9,20250411-115254
59,kein_Terminated,Zeit abgelaufen,0.14,312,-4339.25,300.5,25,9,20250411-115308
60,kein_Terminated,Zeit abgelaufen,0.13,291,-1730.25,300.5,25,2,20250411-115321
61,kein_Terminated,Zeit abgelaufen,0.29,276,-2229.0,300.5,25,2,20250411-115335
62,kein_Terminated,Zeit abgelaufen,0.23,393,-3621.5,300.5,25,1,20250411-115349
63,kein_Terminated,Zeit abgelaufen,0.24,309,-4042.75,300.5,24,2,20250411-115401
64,kein_Terminated,Zeit abgelaufen,0.19,201,-3240.25,300.5,24,2,20250411-115413
65,kein_Terminated,Zeit abgelaufen,0.33,177,2361.0,300.5,24,0,20250411-115425
66,kein_Terminated,Zeit abgelaufen,0.35,191,1403.25,300.5,24,0,20250411-115436
67,kein_Terminated,Zeit abgelaufen,0.35,198,-111.25,300.5,24,7,20250411-115448
68,kein_Terminated,Zeit abgelaufen,0.29,222,147.5,300.5,24,7,20250411-115500
69,kein_Terminated,Zeit abgelaufen,0.26,272,-1695.0,300.5,24,7,20250411-115512
70,kein_Terminated,Zeit abgelaufen,0.16,246,-2982.25,300.5,25,0,20250411-115526
71,kein_Terminated,Zeit abgelaufen,0.25,342,-1782.25,300.5,25,0,20250411-115540
72,kein_Terminated,Zeit abgelaufen,0.17,275,-3523.5,300.5,25,1,20250411-115554
73,kein_Terminated,Zeit abgelaufen,0.24,278,-1494.5,300.5,25,1,20250411-115608
74,kein_Terminated,Zeit abgelaufen,0.41,340,-10230.75,300.5,25,4,20250411-115622
75,kein_Terminated,Zeit abgelaufen,0.28,375,-7668.0,300.5,25,4,20250411-115636
76,kein_Terminated,Zeit abgelaufen,0.22,428,-7900.25,300.5,25,9,20250411-115649
77,kein_Terminated,Zeit abgelaufen,0.31,287,792.0,300.5,25,1,20250411-115703
78,kein_Terminated,Zeit abgelaufen,0.16,390,-3965.75,300.5,25,1,20250411-115717
79,kein_Terminated,Zeit abgelaufen,0.2,288,-2744.5,300.5,25,9,20250411-115731
80,kein_Terminated,Zeit abgelaufen,0.35,278,-1988.0,300.5,25,9,20250411-115745
81,kein_Terminated,Zeit abgelaufen,0.29,346,-4175.25,300.5,25,9,20250411-115758
82,kein_Terminated,Zeit abgelaufen,0.27,313,260.0,300.5,25,9,20250411-115812
83,kein_Terminated,Zeit abgelaufen,0.08,348,-6553.75,300.5,25,4,20250411-115826
1,kein_Terminated,Zeit abgelaufen,0.24,19,3118.5,300.5,22,7,20250411-115840
84,kein_Terminated,Zeit abgelaufen,0.3,232,-824.75,300.5,23,9,20250411-115849
85,kein_Terminated,Zeit abgelaufen,0.39,260,1597.0,300.5,23,9,20250411-115901
86,kein_Terminated,Zeit abgelaufen,0.42,240,985.5,300.5,23,6,20250411-115913
87,kein_Terminated,Zeit abgelaufen,0.26,250,-659.5,300.5,23,6,20250411-115925
88,kein_Terminated,Zeit abgelaufen,0.41,247,748.75,300.5,23,0,20250411-115936
89,kein_Terminated,Zeit abgelaufen,0.31,245,589.0,300.5,23,0,20250411-115948
90,kein_Terminated,Zeit abgelaufen,0.37,292,-239.0,300.5,23,4,20250411-120000
91,kein_Terminated,Zeit abgelaufen,0.36,302,-798.0,300.5,22,6,20250411-120012
92,kein_Terminated,Zeit abgelaufen,0.38,182,2617.25,300.5,22,6,20250411-120023
93,kein_Terminated,Zeit abgelaufen,0.37,267,804.5,300.5,22,5,20250411-120035
94,kein_Terminated,Zeit abgelaufen,0.46,245,522.75,300.5,22,5,20250411-120046
95,kein_Terminated,Zeit abgelaufen,0.41,302,2244.0,300.5,22,4,20250411-120058
96,kein_Terminated,Zeit abgelaufen,0.36,244,1265.0,300.5,22,4,20250411-120109
97,kein_Terminated,Zeit abgelaufen,0.35,197,291.0,300.5,22,5,20250411-120121
98,kein_Terminated,Zeit abgelaufen,0.19,324,-2183.25,300.5,25,7,20250411-120135
99,kein_Terminated,Zeit abgelaufen,0.25,292,-826.75,300.5,25,7,20250411-120148
100,kein_Terminated,Zeit abgelaufen,0.36,244,-280.75,300.5,25,9,20250411-120202
101,kein_Terminated,Zeit abgelaufen,0.2,324,-2377.5,300.5,25,9,20250411-120216
102,kein_Terminated,Zeit abgelaufen,0.1,357,-2271.75,300.5,25,1,20250411-120230
103,kein_Terminated,Zeit abgelaufen,0.24,353,-2873.0,300.5,25,1,20250411-120244
104,kein_Terminated,Zeit abgelaufen,0.15,373,-2550.5,300.5,25,2,20250411-120258
105,kein_Terminated,Zeit abgelaufen,0.29,298,273.0,300.5,23,3,20250411-120310
106,kein_Terminated,Zeit abgelaufen,0.34,207,-195.25,300.5,23,3,20250411-120322
107,kein_Terminated,Zeit abgelaufen,0.33,332,-1516.25,300.5,23,7,20250411-120334
108,kein_Terminated,Zeit abgelaufen,0.37,345,-2201.25,300.5,23,7,20250411-120345
109,kein_Terminated,Zeit abgelaufen,0.33,282,1425.5,300.5,23,1,20250411-120357
110,kein_Terminated,Zeit abgelaufen,0.35,235,343.75,300.5,23,1,20250411-120409
111,kein_Terminated,Zeit abgelaufen,0.58,210,3921.0,300.5,23,8,20250411-120421
112,kein_Terminated,Zeit abgelaufen,0.38,281,2020.75,300.5,22,6,20250411-120433
113,kein_Terminated,Zeit abgelaufen,0.47,250,2326.75,300.5,22,6,20250411-120444
114,kein_Terminated,Zeit abgelaufen,0.43,286,2129.0,300.5,22,4,20250411-120456
115,kein_Terminated,Zeit abgelaufen,0.55,232,3657.0,300.5,22,4,20250411-120507
116,kein_Terminated,Zeit abgelaufen,0.39,288,1875.25,300.5,22,6,20250411-120518
117,kein_Terminated,Zeit abgelaufen,0.35,315,1802.25,300.5,22,6,20250411-120530
118,kein_Terminated,Zeit abgelaufen,0.43,302,2765.5,300.5,22,1,20250411-120542
119,kein_Terminated,Zeit abgelaufen,0.41,201,2647.0,300.5,22,0,20250411-120553
120,kein_Terminated,Zeit abgelaufen,0.23,354,770.0,300.5,22,0,20250411-120605
121,kein_Terminated,Zeit abgelaufen,0.28,407,-500.25,300.5,22,7,20250411-120616
122,kein_Terminated,Zeit abgelaufen,0.51,261,3512.0,300.5,22,7,20250411-120628
123,kein_Terminated,Zeit abgelaufen,0.46,321,1171.25,300.5,22,3,20250411-120639
124,kein_Terminated,Zeit abgelaufen,0.37,303,164.0,300.5,22,3,20250411-120651
125,kein_Terminated,Zeit abgelaufen,0.32,369,-4796.25,300.5,22,7,20250411-120703
126,kein_Terminated,Zeit abgelaufen,0.4,367,45.0,300.5,24,6,20250411-120715
127,kein_Terminated,Zeit abgelaufen,0.35,327,1947.75,300.5,24,6,20250411-120727
128,kein_Terminated,Zeit abgelaufen,0.35,285,1685.5,300.5,24,4,20250411-120739
129,kein_Terminated,Zeit abgelaufen,0.36,301,-2764.25,300.5,24,4,20250411-120751
130,kein_Terminated,Zeit abgelaufen,0.18,384,661.75,300.5,24,0,20250411-120803
131,kein_Terminated,Zeit abgelaufen,0.18,367,-2243.25,300.5,24,0,20250411-120815
132,kein_Terminated,Zeit abgelaufen,0.3,357,-8304.25,300.5,24,8,20250411-120828
133,kein_Terminated,Zeit abgelaufen,0.39,289,2315.0,300.5,24,2,20250411-120840
134,kein_Terminated,Zeit abgelaufen,0.24,274,108.0,300.5,24,2,20250411-120852
135,kein_Terminated,Zeit abgelaufen,0.36,256,532.5,300.5,24,1,20250411-120904
136,kein_Terminated,Zeit abgelaufen,0.35,234,1198.5,300.5,24,1,20250411-120916
137,kein_Terminated,Zeit abgelaufen,0.34,254,1969.25,300.5,24,1,20250411-120928
138,kein_Terminated,Zeit abgelaufen,0.2,357,-161.75,300.5,24,1,20250411-120940
139,kein_Terminated,Zeit abgelaufen,0.27,319,-821.75,300.5,24,7,20250411-120953
140,kein_Terminated,Zeit abgelaufen,0.21,333,187.75,300.5,24,2,20250411-121005
