DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward
2,300,2,-0.5,50000.0,1,800000.0,99999,20,100,50,2,300,6,0.5,5,-20,0.15,0.25

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
67,kein_Terminated,Zeit abgelaufen,0.5,40,3004.0,21,20250407-015208
68,kein_Terminated,Zeit abgelaufen,0.52,45,2986.0,21,20250407-015220
69,kein_Terminated,Zeit abgelaufen,0.55,52,3441.25,21,20250407-015231
70,kein_Terminated,Zeit abgelaufen,0.41,35,2444.75,21,20250407-015243
71,kein_Terminated,Zeit abgelaufen,0.41,37,2379.25,21,20250407-015255
72,kein_Terminated,Zeit abgelaufen,0.5,27,3048.75,21,20250407-015306
73,kein_Terminated,Zeit abgelaufen,0.52,34,3208.75,21,20250407-015318
74,kein_Terminated,Zeit abgelaufen,0.44,64,2617.75,21,20250407-015330
75,kein_Terminated,Zeit abgelaufen,0.49,60,2907.5,21,20250407-015342
76,kein_Terminated,Zeit abgelaufen,0.52,86,2991.75,21,20250407-015353
77,kein_Terminated,Zeit abgelaufen,0.42,87,2463.75,21,20250407-015405
78,kein_Terminated,Zeit abgelaufen,0.42,41,2550.5,21,20250407-015417
79,kein_Terminated,Zeit abgelaufen,0.52,57,3172.25,21,20250407-015429
80,kein_Terminated,Zeit abgelaufen,0.46,31,2830.75,21,20250407-015440
81,kein_Terminated,Zeit abgelaufen,0.5,54,2860.5,21,20250407-015452
82,kein_Terminated,Zeit abgelaufen,0.46,46,2845.0,21,20250407-015504
83,kein_Terminated,Zeit abgelaufen,0.46,57,2766.5,21,20250407-015516
1,kein_Terminated,Zeit abgelaufen,0.41,65,1707.25,21,20250407-015526
84,kein_Terminated,Zeit abgelaufen,0.42,48,2568.75,21,20250407-015536
85,kein_Terminated,Zeit abgelaufen,0.47,64,2810.25,21,20250407-015548
86,kein_Terminated,Zeit abgelaufen,0.55,61,3267.25,21,20250407-015559
87,kein_Terminated,Zeit abgelaufen,0.41,56,2448.5,21,20250407-015611
88,kein_Terminated,Zeit abgelaufen,0.45,22,2735.0,21,20250407-015623
89,kein_Terminated,Zeit abgelaufen,0.48,34,2827.5,21,20250407-015635
90,kein_Terminated,Zeit abgelaufen,0.63,103,2701.25,21,20250407-015647
91,kein_Terminated,Zeit abgelaufen,0.49,104,1864.25,21,20250407-015658
92,kein_Terminated,Zeit abgelaufen,0.46,103,1766.25,21,20250407-015710
93,kein_Terminated,Zeit abgelaufen,0.51,89,2209.0,21,20250407-015722
