DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions
2,300,4,-0.5,50000.0,1,1080000,99999999999999,20,100,50,2,300,2,0.5,5,-20,0.25,0,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4,"(27, 28, 29, 30, 31)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
51,kein_Terminated,Zeit abgelaufen,0.13,39,539.0,300.5,30,8,20250426-135257
52,kein_Terminated,Zeit abgelaufen,0.14,30,751.0,300.5,30,8,20250426-135321
53,kein_Terminated,Zeit abgelaufen,0.13,39,515.0,300.5,30,8,20250426-135345
54,kein_Terminated,Zeit abgelaufen,0.13,29,719.0,300.5,30,8,20250426-135409
55,kein_Terminated,Zeit abgelaufen,0.19,21,1471.0,300.5,30,8,20250426-135432
56,kein_Terminated,Zeit abgelaufen,0.28,39,1935.0,300.5,30,8,20250426-135455
57,kein_Terminated,Zeit abgelaufen,0.19,40,1107.0,300.5,30,8,20250426-135518
58,kein_Terminated,Zeit abgelaufen,0.19,33,1087.0,300.5,30,7,20250426-135542
59,kein_Terminated,Zeit abgelaufen,0.19,31,1259.0,300.5,30,7,20250426-135606
60,kein_Terminated,Zeit abgelaufen,0.19,21,1523.0,300.5,30,7,20250426-135629
61,kein_Terminated,Zeit abgelaufen,0.17,5,1655.0,300.5,30,7,20250426-135653
62,kein_Terminated,Zeit abgelaufen,0.34,10,3463.0,300.5,30,7,20250426-135716
63,kein_Terminated,Zeit abgelaufen,0.38,10,3543.0,300.5,29,7,20250426-135746
64,kein_Terminated,Zeit abgelaufen,0.18,0,1723.0,300.5,29,7,20250426-135816
65,kein_Terminated,Zeit abgelaufen,0.37,12,3483.0,300.5,29,6,20250426-135847
66,kein_Terminated,Zeit abgelaufen,0.36,22,3211.0,300.5,29,6,20250426-135918
67,kein_Terminated,Zeit abgelaufen,0.36,16,3371.0,300.5,29,6,20250426-135948
68,kein_Terminated,Zeit abgelaufen,0.37,12,3555.0,300.5,29,6,20250426-140018
69,kein_Terminated,Zeit abgelaufen,0.25,18,2175.0,300.5,29,6,20250426-140049
70,kein_Terminated,Zeit abgelaufen,0.36,20,3823.0,300.5,30,6,20250426-140115
71,kein_Terminated,Zeit abgelaufen,0.31,16,2739.0,300.5,30,6,20250426-140140
72,kein_Terminated,Zeit abgelaufen,0.3,1,2867.0,300.5,30,4,20250426-140207
73,kein_Terminated,Zeit abgelaufen,0.28,4,2791.0,300.5,30,4,20250426-140232
74,kein_Terminated,Zeit abgelaufen,0.27,0,2903.0,300.5,30,4,20250426-140258
75,kein_Terminated,Zeit abgelaufen,0.27,0,3007.0,300.5,30,4,20250426-140323
76,kein_Terminated,Zeit abgelaufen,0.29,10,3243.0,300.5,30,4,20250426-140350
77,kein_Terminated,Zeit abgelaufen,0.36,15,3283.0,300.5,29,4,20250426-140422
78,kein_Terminated,Zeit abgelaufen,0.35,21,3059.0,300.5,29,4,20250426-140454
79,kein_Terminated,Zeit abgelaufen,0.34,29,2659.0,300.5,29,6,20250426-140526
80,kein_Terminated,Zeit abgelaufen,0.37,37,2827.0,300.5,29,6,20250426-140558
81,kein_Terminated,Zeit abgelaufen,0.35,58,2251.0,300.5,29,6,20250426-140629
82,kein_Terminated,Zeit abgelaufen,0.37,51,2543.0,300.5,29,6,20250426-140702
83,kein_Terminated,Zeit abgelaufen,0.4,32,3223.0,300.5,29,6,20250426-140735
1,kein_Terminated,Zeit abgelaufen,0.33,121,1767.0,300.5,27,0,20250426-140805
84,kein_Terminated,Zeit abgelaufen,0.38,32,3103.0,300.5,28,6,20250426-140828
85,kein_Terminated,Zeit abgelaufen,0.39,32,3463.0,300.5,28,6,20250426-140859
86,kein_Terminated,Zeit abgelaufen,0.33,21,3023.0,300.5,28,3,20250426-140931
87,kein_Terminated,Zeit abgelaufen,0.36,22,3327.0,300.5,28,3,20250426-141002
88,kein_Terminated,Zeit abgelaufen,0.34,17,3223.0,300.5,28,3,20250426-141034
89,kein_Terminated,Zeit abgelaufen,0.36,17,3483.0,300.5,28,3,20250426-141103
90,kein_Terminated,Zeit abgelaufen,0.4,36,3559.0,300.5,28,3,20250426-141132
91,kein_Terminated,Zeit abgelaufen,0.38,90,2227.0,300.5,28,3,20250426-141201
92,kein_Terminated,Zeit abgelaufen,0.37,113,1747.0,300.5,28,3,20250426-141229
93,kein_Terminated,Zeit abgelaufen,0.41,54,3263.0,300.5,28,5,20250426-141259
94,kein_Terminated,Zeit abgelaufen,0.41,50,3391.0,300.5,28,5,20250426-141327
95,kein_Terminated,Zeit abgelaufen,0.34,16,3247.0,300.5,28,5,20250426-141356
96,kein_Terminated,Zeit abgelaufen,0.39,26,3819.0,300.5,28,5,20250426-141424
97,kein_Terminated,Zeit abgelaufen,0.35,13,3459.0,300.5,28,5,20250426-141452
98,kein_Terminated,Zeit abgelaufen,0.37,8,3919.0,300.5,28,5,20250426-141522
99,kein_Terminated,Zeit abgelaufen,0.37,5,3811.0,300.5,28,5,20250426-141551
100,kein_Terminated,Zeit abgelaufen,0.39,7,4059.0,300.5,28,9,20250426-141619
101,kein_Terminated,Zeit abgelaufen,0.37,15,3763.0,300.5,28,9,20250426-141648
102,kein_Terminated,Zeit abgelaufen,0.4,22,4083.0,300.5,28,9,20250426-141717
103,kein_Terminated,Zeit abgelaufen,0.37,9,3915.0,300.5,28,9,20250426-141746
104,kein_Terminated,Zeit abgelaufen,0.37,19,3691.0,300.5,28,9,20250426-141814
105,kein_Terminated,Zeit abgelaufen,0.4,15,4059.0,300.5,28,9,20250426-141842
106,kein_Terminated,Zeit abgelaufen,0.37,20,3827.0,300.5,28,9,20250426-141910
107,kein_Terminated,Zeit abgelaufen,0.4,18,4091.0,300.5,28,5,20250426-141938
108,kein_Terminated,Zeit abgelaufen,0.39,1,4175.0,300.5,28,5,20250426-142006
109,kein_Terminated,Zeit abgelaufen,0.4,16,4199.0,300.5,28,5,20250426-142033
110,kein_Terminated,Zeit abgelaufen,0.21,1,2095.0,300.5,28,5,20250426-142101
111,kein_Terminated,Zeit abgelaufen,0.21,0,2043.0,300.5,28,5,20250426-142129
112,kein_Terminated,Zeit abgelaufen,0.38,11,3895.0,300.5,28,5,20250426-142158
113,kein_Terminated,Zeit abgelaufen,0.2,2,1955.0,300.5,28,5,20250426-142227
114,kein_Terminated,Zeit abgelaufen,0.2,1,1931.0,300.5,28,5,20250426-142257
115,kein_Terminated,Zeit abgelaufen,0.21,0,2087.0,300.5,28,5,20250426-142325
116,kein_Terminated,Zeit abgelaufen,0.21,3,2019.0,300.5,28,5,20250426-142354
117,kein_Terminated,Zeit abgelaufen,0.21,0,2107.0,300.5,28,5,20250426-142422
118,kein_Terminated,Zeit abgelaufen,0.23,0,2335.0,300.5,28,5,20250426-142450
119,kein_Terminated,Zeit abgelaufen,0.21,0,2111.0,300.5,28,5,20250426-142517
120,kein_Terminated,Zeit abgelaufen,0.22,0,2195.0,300.5,28,5,20250426-142545
121,kein_Terminated,Zeit abgelaufen,0.34,6,3543.0,300.5,28,7,20250426-142613
122,kein_Terminated,Zeit abgelaufen,0.39,14,3979.0,300.5,28,7,20250426-142641
123,kein_Terminated,Zeit abgelaufen,0.35,6,3483.0,300.5,28,7,20250426-142709
124,kein_Terminated,Zeit abgelaufen,0.35,5,3659.0,300.5,28,7,20250426-142738
125,kein_Terminated,Zeit abgelaufen,0.38,20,3647.0,300.5,28,7,20250426-142806
126,kein_Terminated,Zeit abgelaufen,0.11,0,947.0,300.5,30,7,20250426-142831
127,kein_Terminated,Zeit abgelaufen,0.26,1,2891.0,300.5,30,7,20250426-142856
128,kein_Terminated,Zeit abgelaufen,0.37,31,3639.0,300.5,30,0,20250426-142920
129,kein_Terminated,Zeit abgelaufen,0.03,596,-11929.0,300.5,30,0,20250426-142944
130,kein_Terminated,Zeit abgelaufen,0.03,596,-11717.0,300.5,30,0,20250426-143008
131,kein_Terminated,Zeit abgelaufen,0.34,18,3663.0,300.5,30,0,20250426-143031
132,kein_Terminated,Zeit abgelaufen,0.36,35,3467.0,300.5,30,0,20250426-143055
133,kein_Terminated,Zeit abgelaufen,0.04,431,-9897.0,300.5,28,0,20250426-143122
134,kein_Terminated,Zeit abgelaufen,0.47,42,3863.0,300.5,28,0,20250426-143150
135,kein_Terminated,Zeit abgelaufen,0.36,5,3639.0,300.5,28,7,20250426-143218
136,kein_Terminated,Zeit abgelaufen,0.21,0,2087.0,300.5,28,7,20250426-143246
