DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,650000,99999,100,100,50,2,0.5,5,-10,0.1,0,8,3,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Beste_Modelle/M2_R6_O4_A2_TR1_T1_20250411-114143/save-04.11.2025_11.41.43/final_model.zip,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250423-182500

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
53,kein_Terminated,Zeit abgelaufen,0.16,50,1364,300.5,24,5,20250423-184204
54,kein_Terminated,Zeit abgelaufen,0.13,109,482,300.5,24,5,20250423-184219
55,kein_Terminated,Zeit abgelaufen,0.12,103,418,300.5,24,5,20250423-184235
56,kein_Terminated,Zeit abgelaufen,0.29,70,2920,300.5,23,9,20250423-184251
57,kein_Terminated,Zeit abgelaufen,0.2,32,2164,300.5,23,9,20250423-184306
58,kein_Terminated,Zeit abgelaufen,0.19,76,1584,300.5,23,9,20250423-184322
59,kein_Terminated,Zeit abgelaufen,0.23,129,1582,300.5,23,9,20250423-184338
60,kein_Terminated,Zeit abgelaufen,0.15,178,-20,300.5,23,4,20250423-184354
61,kein_Terminated,Zeit abgelaufen,0.17,69,1410,300.5,23,4,20250423-184410
62,kein_Terminated,Zeit abgelaufen,0.21,118,1440,300.5,23,8,20250423-184426
63,kein_Terminated,Zeit abgelaufen,0.13,92,612,300.5,24,6,20250423-184441
64,kein_Terminated,Zeit abgelaufen,0.07,190,-1124,300.5,24,6,20250423-184456
65,kein_Terminated,Zeit abgelaufen,0.19,101,1326,300.5,24,3,20250423-184512
66,kein_Terminated,Zeit abgelaufen,0.14,84,824,300.5,24,3,20250423-184527
67,kein_Terminated,Zeit abgelaufen,0.17,81,1254,300.5,24,9,20250423-184543
68,kein_Terminated,Zeit abgelaufen,0.21,61,1978,300.5,24,9,20250423-184558
69,kein_Terminated,Zeit abgelaufen,0.13,3,1550,300.5,24,4,20250423-184614
70,kein_Terminated,Zeit abgelaufen,0.14,45,1162,300.5,24,4,20250423-184629
