DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250411-180656/save-04.11.2025_18.06.56/final_model.zip,20,8,4,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
49,kein_Terminated,Zeit abgelaufen,0.44,310,-5220.25,300.5,25,0,20250412-012919
50,kein_Terminated,Zeit abgelaufen,0.43,340,-6863.5,300.5,25,0,20250412-012934
51,kein_Terminated,Zeit abgelaufen,0.02,602,-60393.0,300.5,25,3,20250412-012951
52,kein_Terminated,Zeit abgelaufen,0.01,602,-11858.75,300.5,25,3,20250412-013006
53,kein_Terminated,Zeit abgelaufen,0.39,302,-2108.5,300.5,25,7,20250412-013020
54,kein_Terminated,Zeit abgelaufen,0.45,402,-1570.75,300.5,25,7,20250412-013034
55,kein_Terminated,Zeit abgelaufen,0.36,321,-2118.25,300.5,25,4,20250412-013048
56,kein_Terminated,Zeit abgelaufen,0.21,180,-497.5,300.5,23,8,20250412-013101
57,kein_Terminated,Zeit abgelaufen,0.29,288,-1000.75,300.5,23,8,20250412-013113
58,kein_Terminated,Zeit abgelaufen,0.27,185,-865.75,300.5,23,3,20250412-013125
59,kein_Terminated,Zeit abgelaufen,0.34,220,-1416.25,300.5,23,3,20250412-013137
60,kein_Terminated,Zeit abgelaufen,0.22,130,29.5,300.5,23,4,20250412-013149
61,kein_Terminated,Zeit abgelaufen,0.54,199,1211.75,300.5,23,4,20250412-013201
62,kein_Terminated,Zeit abgelaufen,0.46,300,-3829.5,300.5,23,3,20250412-013213
63,kein_Terminated,Zeit abgelaufen,0.43,193,239.5,300.5,23,0,20250412-013226
64,kein_Terminated,Zeit abgelaufen,0.35,283,-2731.5,300.5,23,0,20250412-013238
65,kein_Terminated,Zeit abgelaufen,0.49,233,-355.0,300.5,23,9,20250412-013250
66,kein_Terminated,Zeit abgelaufen,0.59,285,1356.75,300.5,23,9,20250412-013302
67,kein_Terminated,Zeit abgelaufen,0.38,283,-4479.25,300.5,23,9,20250412-013314
68,kein_Terminated,Zeit abgelaufen,0.52,286,-1453.5,300.5,23,9,20250412-013326
69,kein_Terminated,Zeit abgelaufen,0.55,241,-824.0,300.5,23,3,20250412-013338
70,kein_Terminated,Zeit abgelaufen,0.56,235,944.0,300.5,22,7,20250412-013350
